 Run: data/cwarner/auto2012           
 
 CRF_N  CRF_DAYS
 3.00   259
 
  YR DOY DAY Tmean    VP  TFac     Rate     NRel          CumNRel     CRF_N  NDemand    FD  AvT  AvFD    NRel2   CRF_N2     AvT2   FD2    SUB_N  RD2
1999 289   1 22.65 2.751 1.103 0.000000 0.000000  0.000000  3.000000 0.000556 234.9 22.7 234.9 -.000000 0.000000  0.0   0.0 0.585922  -99
2011 316   2  9.95 1.241 0.784 0.000074 0.000222  0.000222  2.999778 0.000247 330.3 16.4 282.6 -.000000 0.000000  0.0   0.0 0.585897  -99
2011 317   3 15.10 1.737 0.889 0.000142 0.000427  0.000649  2.999351 0.000645 291.4 16.0 285.5 -.000000 0.000000  0.0   0.0 0.585679  -99
2011 318   4 18.00 2.091 0.963 0.000223 0.000669  0.001318  2.998682 0.000720 268.8 16.6 281.3 -.000000 0.000000  0.0   0.0 0.585628  -99
2011 319   5 21.80 2.630 1.077 0.000349 0.001046  0.002364  2.997636 0.000799 240.4 17.6 273.2 -.000000 0.000000  0.0   0.0 0.585874  -99
2011 320   6 24.75 3.144 1.186 0.000507 0.001520  0.003884  2.996116 0.000856 218.5 18.8 264.0 -.000000 0.000000  0.0   0.0 0.586538  -99
2011 321   7 19.05 2.215 0.990 0.000412 0.001236  0.005119  2.994881 0.000720 261.7 18.9 263.7 -.000000 0.000000  0.0   0.0 0.557000  -99
2011 322   8 13.50 1.556 0.851 0.000348 0.001043  0.006162  2.993838 0.000556 304.5 18.2 268.8 -.000000 0.000000  0.0   0.0 0.557487  -99
2011 323   9 15.25 1.752 0.892 0.000430 0.001291  0.007453  2.992547 0.000748 290.4 17.9 271.2 -.000000 0.000000  0.0   0.0 0.557566  -99
2011 324  10 20.60 2.428 1.034 0.000643 0.001929  0.009382  2.990618 0.000506 250.4 18.2 269.1 -.000000 0.000000  0.0   0.0 0.558988  -99
2011 325  11 19.75 2.324 1.013 0.000678 0.002033  0.011415  2.988585 0.000845 255.8 18.3 267.9 -.000000 0.000000  0.0   0.0 0.560176  -99
2011 326  12 20.45 2.433 1.036 0.000773 0.002320  0.013735  2.986265 0.000892 250.1 18.5 266.4 -.000000 0.000000  0.0   0.0 0.561605  -99
2011 327  13 19.15 2.228 0.992 0.000769 0.002307  0.016042  2.983958 0.000837 261.0 18.6 266.0 -.000000 0.000000  0.0   0.0 0.539450  -99
2011 328  14 15.00 1.710 0.883 0.000656 0.001968  0.018010  2.981990 0.000688 293.2 18.3 267.9 -.000000 0.000000  0.0   0.0 0.540730  -99
2011 329  15 16.40 1.890 0.921 0.000765 0.002294  0.020303  2.979697 0.000887 281.2 18.2 268.8 -.000000 0.000000  0.0   0.0 0.542137  -99
2011 330  16 18.55 2.151 0.976 0.000916 0.002747  0.023051  2.976949 0.000932 265.4 18.2 268.6 -.000000 0.000000  0.0   0.0 0.543952  -99
2011 331  17 19.90 2.351 1.018 0.001059 0.003177  0.026228  2.973772 0.001023 254.3 18.3 267.8 -.000000 0.000000  0.0   0.0 0.546106  -99
2011 332  18 17.00 1.957 0.935 0.000946 0.002837  0.029065  2.970935 0.001025 277.0 18.3 268.3 -.000000 0.000000  0.0   0.0 0.541254  -99
2011 333  19 11.35 1.344 0.806 0.000741 0.002224  0.031289  2.968711 0.000414 321.4 17.9 271.1 -.000000 0.000000  0.0   0.0 0.542613  -99
2011 334  20  7.90 1.076 0.749 0.000675 0.002024  0.033314  2.966686 0.000126 345.6 17.4 274.8 -.000000 0.000000  0.0   0.0 0.544512  -99
2011 335  21  9.05 1.166 0.768 0.000745 0.002235  0.035548  2.964452 0.000279 337.1 17.0 277.8 -.000000 0.000000  0.0   0.0 0.546467  -99
2011 336  22 12.40 1.458 0.830 0.000911 0.002732  0.038280  2.961720 0.000676 312.0 16.8 279.3 -.000000 0.000000  0.0   0.0 0.548522  -99
2011 337  23 14.45 1.666 0.874 0.001055 0.003165  0.041445  2.958555 0.000864 296.4 16.7 280.1 -.000000 0.000000  0.0   0.0 0.550823  -99
2011 338  24 17.35 1.998 0.944 0.001284 0.003853  0.045298  2.954702 0.001181 274.4 16.8 279.8 -.000000 0.000000  0.0   0.0 0.553495  -99
2011 339  25 17.45 1.998 0.944 0.001338 0.004015  0.049313  2.950687 0.000903 274.4 16.8 279.6 -.000000 0.000000  0.0   0.0 0.556607  -99
2011 340  26 20.00 2.360 1.020 0.001626 0.004877  0.054190  2.945810 0.001292 253.9 16.9 278.6 -.000000 0.000000  0.0   0.0 0.560192  -99
2011 341  27 15.00 1.714 0.884 0.001268 0.003803  0.057993  2.942007 0.000901 293.0 16.9 279.2 -.000000 0.000000  0.0   0.0 0.556452  -99
2011 342  28  7.75 1.057 0.745 0.000935 0.002805  0.060798  2.939203 0.000073 347.4 16.5 281.6 -.000000 0.000000  0.0   0.0 0.559183  -99
2011 343  29 15.55 1.787 0.899 0.001409 0.004228  0.065025  2.934975 0.001192 288.0 16.5 281.8 -.000000 0.000000  0.0   0.0 0.562219  -99
2011 344  30 13.15 1.516 0.842 0.001278 0.003835  0.068860  2.931139 0.000917 307.5 16.4 282.7 -.000000 0.000000  0.0   0.0 0.564668  -99
2011 345  31 13.80 1.578 0.855 0.001363 0.004088  0.072949  2.927051 0.000705 302.8 16.3 283.3 -.000000 0.000000  0.0   0.0 0.568051  -99
2011 346  32 13.65 1.563 0.852 0.001396 0.004189  0.077137  2.922863 0.000838 303.9 16.2 284.0 -.000000 0.000000  0.0   0.0 0.543509  -99
2011 347  33 14.15 1.615 0.863 0.001477 0.004430  0.081567  2.918432 0.000581 300.1 16.2 284.5 -.000000 0.000000  0.0   0.0 0.547358  -99
2011 348  34 15.80 1.798 0.902 0.001661 0.004983  0.086550  2.913450 0.001040 287.2 16.2 284.5 -.000000 0.000000  0.0   0.0 0.551300  -99
2011 349  35 16.30 1.868 0.917 0.001766 0.005299  0.091849  2.908150 0.001335 282.6 16.2 284.5 -.000000 0.000000  0.0   0.0 0.555265  -99
2011 350  36 16.40 1.875 0.918 0.001822 0.005467  0.097317  2.902683 0.001380 282.1 16.2 284.4 -.000000 0.000000  0.0   0.0 0.559352  -99
2011 351  37 15.90 1.813 0.905 0.001820 0.005461  0.102778  2.897222 0.001350 286.2 16.2 284.5 -.000000 0.000000  0.0   0.0 0.563463  -99
2011 352  38 10.00 1.232 0.782 0.001397 0.004192  0.106970  2.893030 0.000634 331.0 16.0 285.7 -.000000 0.000000  0.0   0.0 0.567021  -99
2011 353  39 13.05 1.520 0.843 0.001665 0.004995  0.111965  2.888035 0.001006 307.2 15.9 286.2 -.000000 0.000000  0.0   0.0 0.571010  -99
2011 354  40 16.20 1.859 0.915 0.002010 0.006030  0.117994  2.882005 0.001485 283.2 15.9 286.2 -.000000 0.000000  0.0   0.0 0.575554  -99
2011 355  41 18.75 2.178 0.982 0.002375 0.007124  0.125119  2.874881 0.001908 263.8 16.0 285.6 -.000000 0.000000  0.0   0.0 0.580771  -99
2011 356  42 19.50 2.270 1.001 0.002530 0.007589  0.132707  2.867293 0.001579 258.7 16.1 285.0 -.000000 0.000000  0.0   0.0 0.586780  -99
2011 357  43 21.45 2.582 1.067 0.002941 0.008822  0.141530  2.858470 0.002267 242.7 16.2 284.0 -.000000 0.000000  0.0   0.0 0.592847  -99
2011 358  44 18.85 2.182 0.983 0.002552 0.007657  0.149187  2.850813 0.002023 263.6 16.3 283.5 -.000000 0.000000  0.0   0.0 0.598481  -99
2011 359  45 19.00 2.208 0.988 0.002640 0.007920  0.157107  2.842893 0.002197 262.1 16.3 283.1 -.000000 0.000000  0.0   0.0 0.604204  -99
2011 360  46 16.85 1.924 0.928 0.002381 0.007144  0.164251  2.835749 0.002004 279.0 16.4 283.0 -.000000 0.000000  0.0   0.0 0.609344  -99
2011 361  47 14.25 1.632 0.867 0.002121 0.006362  0.170613  2.829387 0.001827 298.8 16.3 283.3 -.000000 0.000000  0.0   0.0 0.598816  -99
2011 362  48  8.65 1.123 0.759 0.001663 0.004988  0.175601  2.824399 0.000348 341.1 16.2 284.5 -.000000 0.000000  0.0   0.0 0.603457  -99
2011 363  49 10.55 1.286 0.794 0.001854 0.005563  0.181164  2.818835 0.001086 326.3 16.0 285.4 -.000000 0.000000  0.0   0.0 0.607934  -99
2011 364  50 12.05 1.419 0.822 0.002029 0.006086  0.187251  2.812749 0.001314 315.2 16.0 286.0 -.000000 0.000000  0.0   0.0 0.612706  -99
2011 365  51 17.00 1.941 0.932 0.002660 0.007981  0.195231  2.804769 0.001884 278.0 16.0 285.8 -.000000 0.000000  0.0   0.0 0.618803  -99
2012   1  52 15.90 1.819 0.906 0.002565 0.007694  0.202926  2.797074 0.002203 285.8 16.0 285.8 -.000000 0.000000  0.0   0.0 0.624295  -99
2012   2  53 10.90 1.310 0.799 0.002032 0.006096  0.209022  2.790978 0.001390 324.2 15.9 286.5 -.000000 0.000000  0.0   0.0 0.626215  -99
2012   3  54  1.25 0.675 0.665 0.001434 0.004301  0.213323  2.786677 0.000007 389.6 15.6 288.4 -.000000 0.000000  0.0   0.0 0.630509  -99
2012   4  55  2.80 0.754 0.681 0.001534 0.004603  0.217926  2.782073 0.000007 380.1 15.4 290.1 -.000000 0.000000  0.0   0.0 0.635105  -99
2012   5  56  8.10 1.090 0.752 0.001904 0.005712  0.223638  2.776362 0.000241 344.3 15.3 291.1 -.000000 0.000000  0.0   0.0 0.640576  -99
