 Run: data/cwarner/auto2012           
 
  YR DOY DAY     SubN  DrCm3  DrNconc   DrainN NRelease    NUptake    CumDr   CumDrN  ROcm3 RO_Nconc     Ro_N   CumRoN        THRU_N      IrN   CumIrN
1999 289   1 0.585922   65.5 0.000207 0.013522 0.000000 0.000556     65.5 0.013522   74.3 0.000182 0.013522 0.013522 0.000000 0.000000 0.000000
2011 316   2 0.585897    0.0 0.000000 0.000000 0.000222 0.000247     65.5 0.013522    0.0 0.000000 0.000000 0.013522 0.000000 0.000000 0.000000
2011 317   3 0.585679    0.0 0.000000 0.000000 0.000427 0.000645     65.5 0.013522    6.8 0.000000 0.000000 0.013522 0.000000 0.000000 0.000000
2011 318   4 0.585628    0.0 0.000000 0.000000 0.000669 0.000720     65.5 0.013522    7.4 0.000000 0.000000 0.013522 0.000000 0.000000 0.000000
2011 319   5 0.585874    0.0 0.000000 0.000000 0.001046 0.000799     65.5 0.013522    8.6 0.000000 0.000000 0.013522 0.000000 0.000000 0.000000
2011 320   6 0.586538    0.0 0.000000 0.000000 0.001520 0.000856     65.5 0.013522    7.2 0.000000 0.000000 0.013522 0.000000 0.000000 0.000000
2011 321   7 0.557000  271.4 0.000111 0.030054 0.001236 0.000720    336.8 0.043576  311.2 0.000097 0.030054 0.043576 0.000000 0.000000 0.000000
2011 322   8 0.557487    0.0 0.000000 0.000000 0.001043 0.000556    336.8 0.043576    0.0 0.000000 0.000000 0.043576 0.000000 0.000000 0.000000
2011 323   9 0.557566    2.0 0.000231 0.000464 0.001291 0.000748    338.8 0.044040    6.9 0.000067 0.000464 0.044040 0.000000 0.000000 0.000000
2011 324  10 0.558988    0.0 0.000000 0.000000 0.001929 0.000506    338.8 0.044040    5.1 0.000000 0.000000 0.044040 0.000000 0.000000 0.000000
2011 325  11 0.560176    0.0 0.000000 0.000000 0.002033 0.000845    338.8 0.044040    4.5 0.000000 0.000000 0.044040 0.000000 0.000000 0.000000
2011 326  12 0.561605    0.0 0.000000 0.000000 0.002320 0.000892    338.8 0.044040    7.3 0.000000 0.000000 0.044040 0.000000 0.000000 0.000000
2011 327  13 0.539450  161.9 0.000146 0.023624 0.002307 0.000837    500.7 0.067664  191.0 0.000124 0.023624 0.067664 0.000000 0.000000 0.000000
2011 328  14 0.540730    0.0 0.000000 0.000000 0.001968 0.000688    500.7 0.067664    0.0 0.000000 0.000000 0.067664 0.000000 0.000000 0.000000
2011 329  15 0.542137    0.0 0.000000 0.000000 0.002294 0.000887    500.7 0.067664    3.7 0.000000 0.000000 0.067664 0.000000 0.000000 0.000000
2011 330  16 0.543952    0.0 0.000000 0.000000 0.002747 0.000932    500.7 0.067664    6.7 0.000000 0.000000 0.067664 0.000000 0.000000 0.000000
2011 331  17 0.546106    0.0 0.000000 0.000000 0.003177 0.001023    500.7 0.067664    6.3 0.000000 0.000000 0.067664 0.000000 0.000000 0.000000
2011 332  18 0.541254   32.2 0.000207 0.006664 0.002837 0.001025    532.9 0.074329   46.1 0.000145 0.006664 0.074329 0.000000 0.000000 0.000000
2011 333  19 0.542613    2.0 0.000224 0.000451 0.002224 0.000414    534.9 0.074780    4.7 0.000096 0.000451 0.074780 0.000000 0.000000 0.000000
2011 334  20 0.544512    0.0 0.000000 0.000000 0.002024 0.000126    534.9 0.074780    1.6 0.000000 0.000000 0.074780 0.000000 0.000000 0.000000
2011 335  21 0.546467    0.0 0.000000 0.000000 0.002235 0.000279    534.9 0.074780    4.1 0.000000 0.000000 0.074780 0.000000 0.000000 0.000000
2011 336  22 0.548522    0.0 0.000000 0.000000 0.002732 0.000676    534.9 0.074780    5.4 0.000000 0.000000 0.074780 0.000000 0.000000 0.000000
2011 337  23 0.550823    0.0 0.000000 0.000000 0.003165 0.000864    534.9 0.074780    5.9 0.000000 0.000000 0.074780 0.000000 0.000000 0.000000
2011 338  24 0.553495    0.0 0.000000 0.000000 0.003853 0.001181    534.9 0.074780    6.4 0.000000 0.000000 0.074780 0.000000 0.000000 0.000000
2011 339  25 0.556607    0.0 0.000000 0.000000 0.004015 0.000903    534.9 0.074780    5.0 0.000000 0.000000 0.074780 0.000000 0.000000 0.000000
2011 340  26 0.560192    0.0 0.000000 0.000000 0.004877 0.001292    534.9 0.074780    5.1 0.000000 0.000000 0.074780 0.000000 0.000000 0.000000
2011 341  27 0.556452   31.2 0.000213 0.006642 0.003803 0.000901    566.1 0.081422   44.0 0.000151 0.006642 0.081422 0.000000 0.000000 0.000000
2011 342  28 0.559183    0.0 0.000000 0.000000 0.002805 0.000073    566.1 0.081422    2.6 0.000000 0.000000 0.081422 0.000000 0.000000 0.000000
2011 343  29 0.562219    0.0 0.000000 0.000000 0.004228 0.001192    566.1 0.081422    2.9 0.000000 0.000000 0.081422 0.000000 0.000000 0.000000
2011 344  30 0.564668    2.0 0.000233 0.000468 0.003835 0.000917    568.1 0.081890    8.1 0.000058 0.000468 0.081890 0.000000 0.000000 0.000000
2011 345  31 0.568051    0.0 0.000000 0.000000 0.004088 0.000705    568.1 0.081890    2.1 0.000000 0.000000 0.081890 0.000000 0.000000 0.000000
2011 346  32 0.543509  231.5 0.000120 0.027893 0.004189 0.000838    799.6 0.109783  257.9 0.000108 0.027893 0.109783 0.000000 0.000000 0.000000
2011 347  33 0.547358    0.0 0.000000 0.000000 0.004430 0.000581    799.6 0.109783    0.0 0.000000 0.000000 0.109783 0.000000 0.000000 0.000000
2011 348  34 0.551300    0.0 0.000000 0.000000 0.004983 0.001040    799.6 0.109783    1.2 0.000000 0.000000 0.109783 0.000000 0.000000 0.000000
2011 349  35 0.555265    0.0 0.000000 0.000000 0.005299 0.001335    799.6 0.109783    4.0 0.000000 0.000000 0.109783 0.000000 0.000000 0.000000
2011 350  36 0.559352    0.0 0.000000 0.000000 0.005467 0.001380    799.6 0.109783    6.1 0.000000 0.000000 0.109783 0.000000 0.000000 0.000000
2011 351  37 0.563463    0.0 0.000000 0.000000 0.005461 0.001350    799.6 0.109783    5.3 0.000000 0.000000 0.109783 0.000000 0.000000 0.000000
2011 352  38 0.567021    0.0 0.000000 0.000000 0.004192 0.000634    799.6 0.109783    4.5 0.000000 0.000000 0.109783 0.000000 0.000000 0.000000
2011 353  39 0.571010    0.0 0.000000 0.000000 0.004995 0.001006    799.6 0.109783    3.6 0.000000 0.000000 0.109783 0.000000 0.000000 0.000000
2011 354  40 0.575554    0.0 0.000000 0.000000 0.006030 0.001485    799.6 0.109783    6.5 0.000000 0.000000 0.109783 0.000000 0.000000 0.000000
2011 355  41 0.580771    0.0 0.000000 0.000000 0.007124 0.001908    799.6 0.109783    6.5 0.000000 0.000000 0.109783 0.000000 0.000000 0.000000
2011 356  42 0.586780    0.0 0.000000 0.000000 0.007589 0.001579    799.6 0.109783    5.1 0.000000 0.000000 0.109783 0.000000 0.000000 0.000000
2011 357  43 0.592847    2.0 0.000243 0.000489 0.008822 0.002267    801.6 0.110272    7.1 0.000069 0.000489 0.110272 0.000000 0.000000 0.000000
2011 358  44 0.598481    0.0 0.000000 0.000000 0.007657 0.002023    801.6 0.110272    5.9 0.000000 0.000000 0.110272 0.000000 0.000000 0.000000
2011 359  45 0.604204    0.0 0.000000 0.000000 0.007920 0.002197    801.6 0.110272    3.5 0.000000 0.000000 0.110272 0.000000 0.000000 0.000000
2011 360  46 0.609344    0.0 0.000000 0.000000 0.007144 0.002004    801.6 0.110272    5.2 0.000000 0.000000 0.110272 0.000000 0.000000 0.000000
2011 361  47 0.598816   73.5 0.000205 0.015063 0.006362 0.001827    875.1 0.125335   88.9 0.000170 0.015063 0.125335 0.000000 0.000000 0.000000
2011 362  48 0.603457    0.0 0.000000 0.000000 0.004988 0.000348    875.1 0.125335    0.0 0.000000 0.000000 0.125335 0.000000 0.000000 0.000000
2011 363  49 0.607934    0.0 0.000000 0.000000 0.005563 0.001086    875.1 0.125335    2.9 0.000000 0.000000 0.125335 0.000000 0.000000 0.000000
2011 364  50 0.612706    0.0 0.000000 0.000000 0.006086 0.001314    875.1 0.125335    5.2 0.000000 0.000000 0.125335 0.000000 0.000000 0.000000
2011 365  51 0.618803    0.0 0.000000 0.000000 0.007981 0.001884    875.1 0.125335    5.7 0.000000 0.000000 0.125335 0.000000 0.000000 0.000000
2012   1  52 0.624295    0.0 0.000000 0.000000 0.007694 0.002203    875.1 0.125335    4.4 0.000000 0.000000 0.125335 0.000000 0.000000 0.000000
2012   2  53 0.626215   11.1 0.000252 0.002785 0.006096 0.001390    886.2 0.128120   19.1 0.000146 0.002785 0.128120 0.000000 0.000000 0.000000
2012   3  54 0.630509    0.0 0.000000 0.000000 0.004301 0.000007    886.2 0.128120    3.0 0.000000 0.000000 0.128120 0.000000 0.000000 0.000000
2012   4  55 0.635105    0.0 0.000000 0.000000 0.004603 0.000007    886.2 0.128120    3.3 0.000000 0.000000 0.128120 0.000000 0.000000 0.000000
2012   5  56 0.640576    0.0 0.000000 0.000000 0.005712 0.000241    886.2 0.128120    4.0 0.000000 0.000000 0.128120 0.000000 0.000000 0.000000
2012   6  57 0.646117    0.0 0.000000 0.000000 0.007169 0.001628    886.2 0.128120    5.4 0.000000 0.000000 0.128120 0.000000 0.000000 0.000000
2012   7  58 0.652088    0.0 0.000000 0.000000 0.007991 0.002019    886.2 0.128120    5.6 0.000000 0.000000 0.128120 0.000000 0.000000 0.000000
2012   8  59 0.658510    0.0 0.000000 0.000000 0.008344 0.001923    886.2 0.128120    6.1 0.000000 0.000000 0.128120 0.000000 0.000000 0.000000
2012   9  60 0.665018    0.0 0.000000 0.000000 0.008787 0.002279    886.2 0.128120    5.9 0.000000 0.000000 0.128120 0.000000 0.000000 0.000000
2012  10  61 0.671756    0.0 0.000000 0.000000 0.008654 0.001915    886.2 0.128120    6.7 0.000000 0.000000 0.128120 0.000000 0.000000 0.000000
2012  11  62 0.678377    5.0 0.000276 0.001386 0.010261 0.002254    891.2 0.129507    9.7 0.000143 0.001386 0.129507 0.000000 0.000000 0.000000
2012  12  63 0.685010    0.0 0.000000 0.000000 0.008691 0.002058    891.2 0.129507    2.7 0.000000 0.000000 0.129507 0.000000 0.000000 0.000000
2012  13  64 0.690983    0.0 0.000000 0.000000 0.006788 0.000816    891.2 0.129507    4.7 0.000000 0.000000 0.129507 0.000000 0.000000 0.000000
2012  14  65 0.696863    0.0 0.000000 0.000000 0.005888 0.000008    891.2 0.129507    3.6 0.000000 0.000000 0.129507 0.000000 0.000000 0.000000
