 Run: data/cwarner/auto2012           
 
  YR DOY Day     d_TW     d_RW    TW    RW    N_TOP        N_ROOT Tact Ract Topt Ropt  NDemand  NUptake  NSupply  NSUF       WSUF NupCum
1999 289   1 0.001122 0.019339   1.6   1.1 0.019217 0.010888 1.21 1.01 1.21 1.01 0.000556 0.000556 0.003327 1.000 1.000  0.001
2011 316   2 0.001122 0.018730   1.6   1.1 0.019257 0.011095 1.21 1.01 1.21 1.01 0.000247 0.000247 0.003360 1.000 1.000  0.001
2011 317   3 0.001122 0.046660   1.6   1.1 0.019362 0.011635 1.22 1.02 1.22 1.02 0.000645 0.000645 0.003415 1.000 1.000  0.001
2011 318   4 0.001122 0.048987   1.6   1.2 0.019494 0.012223 1.23 1.03 1.23 1.03 0.000720 0.000720 0.003553 1.000 1.000  0.002
2011 319   5 0.001122 0.045937   1.6   1.2 0.019684 0.012833 1.24 1.04 1.24 1.04 0.000799 0.000799 0.003696 1.000 1.000  0.003
2011 320   6 0.001122 0.044786   1.6   1.3 0.019907 0.013466 1.25 1.05 1.25 1.05 0.000856 0.000856 0.003831 1.000 1.000  0.004
2011 321   7 0.001122 0.039125   1.6   1.3 0.020082 0.014011 1.26 1.06 1.26 1.06 0.000720 0.000720 0.003963 1.000 1.000  0.005
2011 322   8 0.001122 0.031909   1.6   1.4 0.020206 0.014443 1.27 1.07 1.27 1.07 0.000556 0.000556 0.004009 1.000 1.000  0.005
2011 323   9 0.001122 0.043527   1.6   1.4 0.020363 0.015034 1.28 1.08 1.28 1.08 0.000748 0.000748 0.004101 1.000 1.000  0.006
2011 324  10 0.001122 0.017283   1.6   1.4 0.020539 0.015364 1.29 1.09 1.29 1.09 0.000506 0.000506 0.004224 1.000 1.000  0.006
2011 325  11 0.005646 0.044045   1.6   1.5 0.020765 0.015982 1.30 1.10 1.30 1.10 0.000845 0.000845 0.004276 1.000 1.000  0.007
2011 326  12 0.007740 0.042814   1.6   1.5 0.021032 0.016607 1.31 1.11 1.31 1.11 0.000892 0.000892 0.004403 1.000 1.000  0.008
2011 327  13 0.009859 0.033897   1.6   1.5 0.021331 0.017145 1.32 1.12 1.32 1.12 0.000837 0.000837 0.004527 1.000 1.000  0.009
2011 328  14 0.009519 0.026473   1.6   1.6 0.021593 0.017571 1.33 1.13 1.33 1.13 0.000688 0.000688 0.004560 1.000 1.000  0.010
2011 329  15 0.010692 0.042650   1.6   1.6 0.021868 0.018182 1.34 1.14 1.34 1.14 0.000887 0.000887 0.004637 1.000 1.000  0.011
2011 330  16 0.013366 0.040393   1.7   1.6 0.022195 0.018788 1.34 1.14 1.34 1.14 0.000932 0.000932 0.004758 1.000 1.000  0.011
2011 331  17 0.017136 0.039619   1.7   1.7 0.022594 0.019412 1.35 1.15 1.35 1.15 0.001023 0.001023 0.004874 1.000 1.000  0.012
