 RUN:  data/cwarner/auto2012           
 
  YR DOY DAY Tmean    VP  TFac     Rate     PRel          CumPRel     CRF_P  PDemand    FD  AvT  AvFD    PRel2   CRF_P2     AvT2   FD2    SUB_P  RD2
1999 289   1 22.65 2.751 1.103 0.000000 0.000000  0.000000  0.436000 0.000077 234.9 22.7 234.9 0.000000 0.000000  0.0   0.0 0.086141  -99
2011 316   2  9.95 1.241 0.784 0.000074 0.000032  0.000032  0.435968 0.000033 330.3 16.4 282.6 0.000000 0.000000  0.0   0.0 0.086140  -99
2011 317   3 15.10 1.737 0.889 0.000142 0.000062  0.000094  0.435906 0.000086 291.4 16.0 285.5 0.000000 0.000000  0.0   0.0 0.086116  -99
2011 318   4 18.00 2.091 0.963 0.000223 0.000097  0.000192  0.435808 0.000096 268.8 16.6 281.3 0.000000 0.000000  0.0   0.0 0.086117  -99
2011 319   5 21.80 2.630 1.077 0.000349 0.000152  0.000344  0.435656 0.000108 240.4 17.6 273.2 0.000000 0.000000  0.0   0.0 0.086161  -99
2011 320   6 24.75 3.144 1.186 0.000507 0.000221  0.000564  0.435436 0.000116 218.5 18.8 264.0 0.000000 0.000000  0.0   0.0 0.086266  -99
2011 321   7 19.05 2.215 0.990 0.000412 0.000180  0.000744  0.435256 0.000098 261.7 18.9 263.7 0.000000 0.000000  0.0   0.0 0.084138  -99
2011 322   8 13.50 1.556 0.851 0.000348 0.000152  0.000896  0.435104 0.000075 304.5 18.2 268.8 0.000000 0.000000  0.0   0.0 0.084214  -99
2011 323   9 15.25 1.752 0.892 0.000430 0.000188  0.001083  0.434917 0.000101 290.4 17.9 271.2 0.000000 0.000000  0.0   0.0 0.084266  -99
2011 324  10 20.60 2.428 1.034 0.000643 0.000280  0.001363  0.434636 0.000070 250.4 18.2 269.1 0.000000 0.000000  0.0   0.0 0.084476  -99
2011 325  11 19.75 2.324 1.013 0.000678 0.000295  0.001659  0.434341 0.000114 255.8 18.3 267.9 0.000000 0.000000  0.0   0.0 0.084658  -99
2011 326  12 20.45 2.433 1.036 0.000773 0.000337  0.001996  0.434004 0.000120 250.1 18.5 266.4 0.000000 0.000000  0.0   0.0 0.084875  -99
2011 327  13 19.15 2.228 0.992 0.000769 0.000335  0.002331  0.433669 0.000113 261.0 18.6 266.0 0.000000 0.000000  0.0   0.0 0.083312  -99
2011 328  14 15.00 1.710 0.883 0.000656 0.000286  0.002617  0.433383 0.000093 293.2 18.3 267.9 0.000000 0.000000  0.0   0.0 0.083505  -99
2011 329  15 16.40 1.890 0.921 0.000765 0.000333  0.002951  0.433049 0.000119 281.2 18.2 268.8 0.000000 0.000000  0.0   0.0 0.083720  -99
2011 330  16 18.55 2.151 0.976 0.000916 0.000399  0.003350  0.432650 0.000125 265.4 18.2 268.6 0.000000 0.000000  0.0   0.0 0.083994  -99
2011 331  17 19.90 2.351 1.018 0.001059 0.000462  0.003812  0.432188 0.000137 254.3 18.3 267.8 0.000000 0.000000  0.0   0.0 0.084318  -99
2011 332  18 17.00 1.957 0.935 0.000946 0.000412  0.004224  0.431776 0.000137 277.0 18.3 268.3 0.000000 0.000000  0.0   0.0 0.084078  -99
2011 333  19 11.35 1.344 0.806 0.000741 0.000323  0.004547  0.431453 0.000056 321.4 17.9 271.1 0.000000 0.000000  0.0   0.0 0.084311  -99
2011 334  20  7.90 1.076 0.749 0.000675 0.000294  0.004842  0.431158 0.000017 345.6 17.4 274.8 0.000000 0.000000  0.0   0.0 0.084588  -99
2011 335  21  9.05 1.166 0.768 0.000745 0.000325  0.005166  0.430834 0.000037 337.1 17.0 277.8 0.000000 0.000000  0.0   0.0 0.084875  -99
2011 336  22 12.40 1.458 0.830 0.000911 0.000397  0.005563  0.430437 0.000090 312.0 16.8 279.3 0.000000 0.000000  0.0   0.0 0.085182  -99
2011 337  23 14.45 1.666 0.874 0.001055 0.000460  0.006023  0.429977 0.000115 296.4 16.7 280.1 0.000000 0.000000  0.0   0.0 0.085526  -99
2011 338  24 17.35 1.998 0.944 0.001284 0.000560  0.006583  0.429417 0.000158 274.4 16.8 279.8 0.000000 0.000000  0.0   0.0 0.085928  -99
2011 339  25 17.45 1.998 0.944 0.001338 0.000584  0.007167  0.428833 0.000121 274.4 16.8 279.6 0.000000 0.000000  0.0   0.0 0.086391  -99
2011 340  26 20.00 2.360 1.020 0.001626 0.000709  0.007876  0.428124 0.000173 253.9 16.9 278.6 0.000000 0.000000  0.0   0.0 0.086927  -99
2011 341  27 15.00 1.714 0.884 0.001268 0.000553  0.008428  0.427572 0.000120 293.0 16.9 279.2 0.000000 0.000000  0.0   0.0 0.086844  -99
2011 342  28  7.75 1.057 0.745 0.000935 0.000408  0.008836  0.427164 0.000010 347.4 16.5 281.6 0.000000 0.000000  0.0   0.0 0.087241  -99
2011 343  29 15.55 1.787 0.899 0.001409 0.000614  0.009450  0.426550 0.000159 288.0 16.5 281.8 0.000000 0.000000  0.0   0.0 0.087696  -99
