 RUN:  data/cwarner/auto2012           
 
  YR DOY DAY     SubP  DrCm3  DrPconc   DrainP PRelease    PUptake     CumDr  CumDrP  ROcm3 RO_Pconc     Ro_P   CumRoP        THRU_P      IrP   CumIrP
1999 289   1 0.086141   65.5 0.000015 0.000983 0.000000 0.000077     65.5 0.000983   74.3 0.000013 0.000983 0.000983 0.000000 0.000000 0.000000
2011 316   2 0.086140    0.0 0.000000 0.000000 0.000032 0.000033     65.5 0.000983    0.0 0.000000 0.000000 0.000983 0.000000 0.000000 0.000000
2011 317   3 0.086116    0.0 0.000000 0.000000 0.000062 0.000086     65.5 0.000983    6.8 0.000000 0.000000 0.000983 0.000000 0.000000 0.000000
2011 318   4 0.086117    0.0 0.000000 0.000000 0.000097 0.000096     65.5 0.000983    7.4 0.000000 0.000000 0.000983 0.000000 0.000000 0.000000
2011 319   5 0.086161    0.0 0.000000 0.000000 0.000152 0.000108     65.5 0.000983    8.6 0.000000 0.000000 0.000983 0.000000 0.000000 0.000000
2011 320   6 0.086266    0.0 0.000000 0.000000 0.000221 0.000116     65.5 0.000983    7.2 0.000000 0.000000 0.000983 0.000000 0.000000 0.000000
2011 321   7 0.084138  271.4 0.000008 0.002210 0.000180 0.000098    336.8 0.003193  311.2 0.000007 0.002210 0.003193 0.000000 0.000000 0.000000
2011 322   8 0.084214    0.0 0.000000 0.000000 0.000152 0.000075    336.8 0.003193    0.0 0.000000 0.000000 0.003193 0.000000 0.000000 0.000000
2011 323   9 0.084266    2.0 0.000017 0.000035 0.000188 0.000101    338.8 0.003228    6.9 0.000005 0.000035 0.003228 0.000000 0.000000 0.000000
2011 324  10 0.084476    0.0 0.000000 0.000000 0.000280 0.000070    338.8 0.003228    5.1 0.000000 0.000000 0.003228 0.000000 0.000000 0.000000
2011 325  11 0.084658    0.0 0.000000 0.000000 0.000295 0.000114    338.8 0.003228    4.5 0.000000 0.000000 0.003228 0.000000 0.000000 0.000000
2011 326  12 0.084875    0.0 0.000000 0.000000 0.000337 0.000120    338.8 0.003228    7.3 0.000000 0.000000 0.003228 0.000000 0.000000 0.000000
2011 327  13 0.083312  161.9 0.000011 0.001785 0.000335 0.000113    500.7 0.005013  191.0 0.000009 0.001785 0.005013 0.000000 0.000000 0.000000
2011 328  14 0.083505    0.0 0.000000 0.000000 0.000286 0.000093    500.7 0.005013    0.0 0.000000 0.000000 0.005013 0.000000 0.000000 0.000000
2011 329  15 0.083720    0.0 0.000000 0.000000 0.000333 0.000119    500.7 0.005013    3.7 0.000000 0.000000 0.005013 0.000000 0.000000 0.000000
2011 330  16 0.083994    0.0 0.000000 0.000000 0.000399 0.000125    500.7 0.005013    6.7 0.000000 0.000000 0.005013 0.000000 0.000000 0.000000
2011 331  17 0.084318    0.0 0.000000 0.000000 0.000462 0.000137    500.7 0.005013    6.3 0.000000 0.000000 0.005013 0.000000 0.000000 0.000000
2011 332  18 0.084078   32.2 0.000016 0.000514 0.000412 0.000137    532.9 0.005527   46.1 0.000011 0.000514 0.005527 0.000000 0.000000 0.000000
2011 333  19 0.084311    2.0 0.000017 0.000035 0.000323 0.000056    534.9 0.005562    4.7 0.000007 0.000035 0.005562 0.000000 0.000000 0.000000
2011 334  20 0.084588    0.0 0.000000 0.000000 0.000294 0.000017    534.9 0.005562    1.6 0.000000 0.000000 0.005562 0.000000 0.000000 0.000000
2011 335  21 0.084875    0.0 0.000000 0.000000 0.000325 0.000037    534.9 0.005562    4.1 0.000000 0.000000 0.005562 0.000000 0.000000 0.000000
2011 336  22 0.085182    0.0 0.000000 0.000000 0.000397 0.000090    534.9 0.005562    5.4 0.000000 0.000000 0.005562 0.000000 0.000000 0.000000
2011 337  23 0.085526    0.0 0.000000 0.000000 0.000460 0.000115    534.9 0.005562    5.9 0.000000 0.000000 0.005562 0.000000 0.000000 0.000000
2011 338  24 0.085928    0.0 0.000000 0.000000 0.000560 0.000158    534.9 0.005562    6.4 0.000000 0.000000 0.005562 0.000000 0.000000 0.000000
2011 339  25 0.086391    0.0 0.000000 0.000000 0.000584 0.000121    534.9 0.005562    5.0 0.000000 0.000000 0.005562 0.000000 0.000000 0.000000
2011 340  26 0.086927    0.0 0.000000 0.000000 0.000709 0.000173    534.9 0.005562    5.1 0.000000 0.000000 0.005562 0.000000 0.000000 0.000000
