 Run: data/cwarner/auto2012           
 
  YR DOY DAY      LA   LAI    TW    RW     DT SRad         TMIN TMAX    Ra   Ir   CF  P_Ra  P_Ir    Sw  P_Dr    Ro P_Et         HT   Et   P_Ar
1999 289   1   150.1  0.68   1.6   1.1    1.0  4.6 21.1 24.2  0.43 0.00 1.00  0.43  0.00 5.968  0.33  0.34 0.10  14.0 0.09  221.7
2011 316   2   150.2  0.68   1.6   1.1    1.1 14.9 -3.0 22.9  0.00 0.00 1.00  0.00  0.00 5.641  0.00  0.00 0.33  14.0 0.30  221.7
2011 317   3   150.3  0.68   1.6   1.1    1.6 13.7  4.6 25.6  0.00 0.33 1.00  0.00  0.33 5.611  0.00  0.03 0.36  14.0 0.32  221.7
2011 318   4   150.4  0.68   1.6   1.2    2.1 14.2  7.6 28.4  0.00 0.36 1.00  0.00  0.36 5.553  0.00  0.03 0.41  14.0 0.38  221.7
2011 319   5   150.5  0.68   1.6   1.2    3.0 10.8 14.3 29.3  0.00 0.41 1.00  0.00  0.41 5.621  0.00  0.04 0.35  14.0 0.32  221.7
2011 320   6   150.6  0.68   1.6   1.3    4.0 10.8 19.7 29.8  0.00 0.35 1.00  0.00  0.35 5.649  0.00  0.03 0.32  14.0 0.29  221.7
2011 321   7   150.7  0.68   1.6   1.3    4.8  9.2 12.5 25.6  1.61 0.32 1.00  1.61  0.32 5.968  1.35  1.40 0.26  14.0 0.24  221.7
2011 322   8   150.8  0.68   1.6   1.4    5.3  9.7  6.6 20.4  0.00 0.00 1.00  0.00  0.00 5.750  0.00  0.00 0.22  14.0 0.20  221.7
2011 323   9   150.9  0.68   1.6   1.4    6.0 12.6 10.4 20.1  0.02 0.22 1.00  0.02  0.22 5.722  0.01  0.03 0.26  14.0 0.23  221.7
2011 324  10   151.0  0.68   1.6   1.4    6.7  4.1 12.6 28.6  0.00 0.25 1.00  0.00  0.25 5.751  0.00  0.02 0.22  14.0 0.20  221.7
2011 325  11   151.5  0.68   1.6   1.5    7.5 11.9 11.5 28.0  0.00 0.22 1.00  0.00  0.22 5.613  0.00  0.02 0.36  14.1 0.32  221.7
2011 326  12   152.2  0.69   1.6   1.5    8.3 13.1 12.9 28.0  0.00 0.36 1.00  0.00  0.36 5.596  0.00  0.03 0.37  14.1 0.34  221.7
2011 327  13   153.1  0.69   1.6   1.5    9.1  8.5 13.3 25.0  1.04 0.37 1.00  1.04  0.37 5.968  0.81  0.86 0.23  14.1 0.21  221.7
2011 328  14   153.9  0.69   1.6   1.6    9.7  7.4  9.3 20.7  0.00 0.00 1.00  0.00  0.00 5.790  0.00  0.00 0.18  14.2 0.16  221.7
2011 329  15   154.9  0.70   1.6   1.6   10.3 13.5  8.9 23.9  0.00 0.18 1.00  0.00  0.18 5.645  0.00  0.02 0.32  14.2 0.29  221.7
2011 330  16   156.1  0.70   1.7   1.6   11.0 10.1 10.4 26.7  0.00 0.32 1.00  0.00  0.32 5.665  0.00  0.03 0.30  14.3 0.27  221.7
2011 331  17   157.6  0.71   1.7   1.7   11.8 12.7 12.5 27.3  0.00 0.30 1.00  0.00  0.30 5.615  0.00  0.03 0.35  14.4 0.32  221.7
2011 332  18   159.2  0.72   1.7   1.7   12.5 11.7 11.2 22.8  0.32 0.35 1.00  0.32  0.35 5.858  0.16  0.21 0.27  14.4 0.25  221.7
2011 333  19   160.3  0.72   1.7   1.7   12.9  3.1  5.6 17.1  0.02 0.11 1.00  0.02  0.11 5.891  0.01  0.02 0.09  14.5 0.08  221.7
2011 334  20   160.6  0.72   1.7   1.7   13.1 11.8  1.3 14.5  0.00 0.08 1.00  0.00  0.08 5.769  0.00  0.01 0.20  14.5 0.18  221.7
2011 335  21   161.2  0.73   1.7   1.7   13.3 13.0 -1.2 19.3  0.00 0.20 1.00  0.00  0.20 5.709  0.00  0.02 0.26  14.5 0.24  221.7
2011 336  22   162.3  0.73   1.7   1.8   13.7 13.1  3.4 21.4  0.00 0.26 1.00  0.00  0.26 5.680  0.00  0.02 0.29  14.6 0.26  221.7
2011 337  23   163.7  0.74   1.7   1.8   14.2 12.8  5.4 23.5  0.00 0.29 1.00  0.00  0.29 5.658  0.00  0.03 0.31  14.6 0.28  221.7
2011 338  24   166.2  0.75   1.8   1.8   14.9 10.8 12.6 22.1  0.00 0.31 1.00  0.00  0.31 5.727  0.00  0.03 0.24  14.7 0.22  221.7
2011 339  25   168.3  0.76   1.8   1.9   15.5  6.7  8.3 26.6  0.00 0.24 1.00  0.00  0.24 5.721  0.00  0.02 0.25  14.8 0.22  221.7
2011 340  26   171.3  0.77   1.8   1.9   16.3 11.3 13.4 26.6  0.00 0.25 1.00  0.00  0.25 5.657  0.00  0.02 0.31  15.0 0.28  221.7
2011 341  27   173.1  0.78   1.8   1.9   16.8  9.1  4.3 25.7  0.31 0.31 1.00  0.31  0.31 5.841  0.15  0.20 0.28  15.0 0.26  221.7
2011 342  28   173.1  0.78   1.8   1.9   16.9  6.9 -0.2 15.7  0.00 0.13 1.00  0.00  0.13 5.828  0.00  0.01 0.14  15.0 0.13  221.7
2011 343  29   175.9  0.79   1.9   2.0   17.6 12.4  9.2 21.9  0.00 0.14 1.00  0.00  0.14 5.692  0.00  0.01 0.28  15.2 0.25  221.7
2011 344  30   178.6  0.81   1.9   2.0   18.2  6.4 11.0 15.3  0.02 0.28 1.00  0.02  0.28 5.865  0.01  0.04 0.11  15.3 0.10  221.7
2011 345  31   180.7  0.82   1.9   2.0   18.8  2.7 11.2 16.4  0.00 0.10 1.00  0.00  0.10 5.909  0.00  0.01 0.06  15.4 0.05  221.7
2011 346  32   183.6  0.83   2.0   2.0   19.4  3.7 11.9 15.4  1.22 0.06 1.00  1.22  0.06 5.968  1.15  1.16 0.07  15.5 0.06  221.7
2011 347  33   184.9  0.83   2.0   2.0   20.1  1.6  9.9 18.4  0.00 0.00 1.00  0.00  0.00 5.909  0.00  0.00 0.06  15.5 0.05  221.7
2011 348  34   188.0  0.85   2.0   2.0   20.7  5.8  7.6 24.0  0.00 0.06 1.00  0.00  0.06 5.773  0.00  0.01 0.20  15.7 0.18  221.7
2011 349  35   191.4  0.86   2.0   2.0   21.2 10.9  7.7 24.9  0.00 0.20 1.00  0.00  0.20 5.673  0.00  0.02 0.30  15.8 0.27  221.7
2011 350  36   195.0  0.88   2.1   2.1   21.8  9.1  8.4 24.4  0.00 0.30 1.00  0.00  0.30 5.713  0.00  0.03 0.26  16.0 0.23  221.7
2011 351  37   198.9  0.90   2.1   2.1   22.5  7.9  8.7 23.1  0.00 0.26 1.00  0.00  0.26 5.752  0.00  0.02 0.22  16.1 0.20  221.7
2011 352  38   201.1  0.91   2.2   2.1   22.8  7.8  1.7 18.3  0.00 0.22 1.00  0.00  0.22 5.794  0.00  0.02 0.17  16.2 0.16  221.7
2011 353  39   203.5  0.92   2.2   2.1   23.1 12.8  2.4 23.7  0.00 0.17 1.00  0.00  0.17 5.655  0.00  0.02 0.31  16.3 0.28  221.7
2011 354  40   207.4  0.94   2.2   2.2   23.7 11.8  7.3 25.1  0.00 0.31 1.00  0.00  0.31 5.654  0.00  0.03 0.31  16.4 0.29  221.7
2011 355  41   213.5  0.96   2.3   2.2   24.5 10.2 13.7 23.8  0.00 0.31 1.00  0.00  0.31 5.721  0.00  0.03 0.25  16.7 0.22  221.7
2011 356  42   219.2  0.99   2.4   2.2   25.2  5.5 11.6 27.4  0.00 0.25 1.00  0.00  0.25 5.742  0.00  0.02 0.23  16.9 0.21  221.7
2011 357  43   227.0  1.02   2.4   2.2   26.2 12.0 16.8 26.1  0.02 0.23 1.00  0.02  0.23 5.681  0.01  0.03 0.30  17.2 0.27  221.7
2011 358  44   234.5  1.06   2.5   2.3   27.0  6.6 14.5 23.2  0.00 0.29 1.00  0.00  0.29 5.798  0.00  0.03 0.17  17.4 0.15  221.7
2011 359  45   241.8  1.09   2.6   2.3   27.8  9.2 12.9 25.1  0.00 0.17 1.00  0.00  0.17 5.717  0.00  0.02 0.25  17.7 0.23  221.7
2011 360  46   249.0  1.12   2.7   2.3   28.6  6.9 11.8 21.9  0.00 0.25 1.00  0.00  0.25 5.795  0.00  0.02 0.17  17.9 0.16  221.7
2011 361  47   255.0  1.15   2.8   2.3   29.2  9.0  8.1 20.4  0.57 0.17 1.00  0.57  0.17 5.968  0.37  0.40 0.20  18.1 0.19  221.7
2011 362  48   256.0  1.15   2.8   2.3   29.4  6.1  0.4 16.9  0.00 0.00 1.00  0.00  0.00 5.830  0.00  0.00 0.14  18.2 0.13  221.7
2011 363  49   259.6  1.17   2.8   2.4   29.7 12.7  2.2 18.9  0.00 0.14 1.00  0.00  0.14 5.716  0.00  0.01 0.25  18.3 0.23  221.7
2011 364  50   263.5  1.19   2.9   2.4   30.1 12.3  2.7 21.4  0.00 0.25 1.00  0.00  0.25 5.693  0.00  0.02 0.28  18.4 0.25  221.7
2011 365  51   270.3  1.22   2.9   2.4   30.7  6.1  8.8 25.2  0.00 0.28 1.00  0.00  0.28 5.755  0.00  0.03 0.21  18.7 0.19  221.7
2012   1  52   277.1  1.25   3.0   2.4   31.3 11.2  8.3 23.5  0.00 0.21 1.00  0.00  0.21 5.690  0.00  0.02 0.28  18.9 0.25  221.7
2012   2  53   281.9  1.27   3.1   2.4   31.7  9.9  4.1 17.7  0.11 0.28 1.00  0.11  0.28 5.825  0.05  0.09 0.20  19.0 0.18  221.7
2012   3  54   281.9  1.27   3.1   2.4   31.7 13.0 -5.0  7.5  0.00 0.14 1.00  0.00  0.14 5.807  0.00  0.01 0.16  19.0 0.15  221.7
2012   4  55   281.9  1.27   3.1   2.4   31.7 13.1 -7.7 13.3  0.00 0.16 1.00  0.00  0.16 5.773  0.00  0.02 0.20  19.0 0.18  221.7
