 Run: data/cwarner/auto2012b          
 
  YR DOY DAY     SubN  DrCm3  DrNconc   DrainN NRelease    NUptake    CumDr   CumDrN  ROcm3 RO_Nconc     Ro_N   CumRoN        THRU_N      IrN   CumIrN
1999 289   1 0.585922   65.5 0.000207 0.013522 0.000000 0.000556     65.5 0.013522   74.3 0.000182 0.013522 0.013522 0.000000 0.000000 0.000000
2011 316   2 0.585897    0.0 0.000000 0.000000 0.000222 0.000247     65.5 0.013522    0.0 0.000000 0.000000 0.013522 0.000000 0.000000 0.000000
2011 317   3 0.585679    0.0 0.000000 0.000000 0.000427 0.000645     65.5 0.013522    6.8 0.000000 0.000000 0.013522 0.000000 0.000000 0.000000
2011 318   4 0.585628    0.0 0.000000 0.000000 0.000669 0.000720     65.5 0.013522    7.4 0.000000 0.000000 0.013522 0.000000 0.000000 0.000000
2011 319   5 0.585874    0.0 0.000000 0.000000 0.001046 0.000799     65.5 0.013522    8.6 0.000000 0.000000 0.013522 0.000000 0.000000 0.000000
2011 320   6 0.586538    0.0 0.000000 0.000000 0.001520 0.000856     65.5 0.013522    7.2 0.000000 0.000000 0.013522 0.000000 0.000000 0.000000
2011 321   7 0.557000  271.4 0.000111 0.030054 0.001236 0.000720    336.8 0.043576  311.2 0.000097 0.030054 0.043576 0.000000 0.000000 0.000000
2011 322   8 0.557487    0.0 0.000000 0.000000 0.001043 0.000556    336.8 0.043576    0.0 0.000000 0.000000 0.043576 0.000000 0.000000 0.000000
2011 323   9 0.558030    0.0 0.000000 0.000000 0.001291 0.000748    336.8 0.043576    0.4 0.000000 0.000000 0.043576 0.000000 0.000000 0.000000
2011 324  10 0.559452    0.0 0.000000 0.000000 0.001929 0.000506    336.8 0.043576    9.4 0.000000 0.000000 0.043576 0.000000 0.000000 0.000000
2011 325  11 0.560641    0.0 0.000000 0.000000 0.002033 0.000845    336.8 0.043576    0.0 0.000000 0.000000 0.043576 0.000000 0.000000 0.000000
2011 326  12 0.562069    0.0 0.000000 0.000000 0.002320 0.000892    336.8 0.043576   11.8 0.000000 0.000000 0.043576 0.000000 0.000000 0.000000
2011 327  13 0.539895  161.9 0.000146 0.023644 0.002307 0.000837    498.7 0.067220  191.0 0.000124 0.023644 0.067220 0.000000 0.000000 0.000000
2011 328  14 0.541175    0.0 0.000000 0.000000 0.001968 0.000688    498.7 0.067220    0.0 0.000000 0.000000 0.067220 0.000000 0.000000 0.000000
2011 329  15 0.542582    0.0 0.000000 0.000000 0.002294 0.000887    498.7 0.067220    0.0 0.000000 0.000000 0.067220 0.000000 0.000000 0.000000
2011 330  16 0.544397    0.0 0.000000 0.000000 0.002747 0.000932    498.7 0.067220   10.3 0.000000 0.000000 0.067220 0.000000 0.000000 0.000000
2011 331  17 0.546551    0.0 0.000000 0.000000 0.003177 0.001023    498.7 0.067220    6.3 0.000000 0.000000 0.067220 0.000000 0.000000 0.000000
2011 332  18 0.541693   32.2 0.000207 0.006670 0.002837 0.001025    530.9 0.073889   46.1 0.000145 0.006670 0.073889 0.000000 0.000000 0.000000
2011 333  19 0.543503    0.0 0.000000 0.000000 0.002224 0.000414    530.9 0.073889    0.4 0.000000 0.000000 0.073889 0.000000 0.000000 0.000000
2011 334  20 0.545402    0.0 0.000000 0.000000 0.002024 0.000126    530.9 0.073889    0.0 0.000000 0.000000 0.073889 0.000000 0.000000 0.000000
2011 335  21 0.547357    0.0 0.000000 0.000000 0.002235 0.000279    530.9 0.073889    7.8 0.000000 0.000000 0.073889 0.000000 0.000000 0.000000
2011 336  22 0.549412    0.0 0.000000 0.000000 0.002732 0.000676    530.9 0.073889    0.0 0.000000 0.000000 0.073889 0.000000 0.000000 0.000000
2011 337  23 0.551713    0.0 0.000000 0.000000 0.003165 0.000864    530.9 0.073889   11.3 0.000000 0.000000 0.073889 0.000000 0.000000 0.000000
2011 338  24 0.554385    0.0 0.000000 0.000000 0.003853 0.001181    530.9 0.073889    6.4 0.000000 0.000000 0.073889 0.000000 0.000000 0.000000
2011 339  25 0.557498    0.0 0.000000 0.000000 0.004015 0.000903    530.9 0.073889    0.0 0.000000 0.000000 0.073889 0.000000 0.000000 0.000000
2011 340  26 0.561082    0.0 0.000000 0.000000 0.004877 0.001292    530.9 0.073889   10.1 0.000000 0.000000 0.073889 0.000000 0.000000 0.000000
2011 341  27 0.557331   31.2 0.000213 0.006653 0.003803 0.000901    562.0 0.080542   44.0 0.000151 0.006653 0.080542 0.000000 0.000000 0.000000
2011 342  28 0.560062    0.0 0.000000 0.000000 0.002805 0.000073    562.0 0.080542    0.0 0.000000 0.000000 0.080542 0.000000 0.000000 0.000000
2011 343  29 0.563098    0.0 0.000000 0.000000 0.004228 0.001192    562.0 0.080542    0.0 0.000000 0.000000 0.080542 0.000000 0.000000 0.000000
2011 344  30 0.565547    2.0 0.000233 0.000469 0.003835 0.000917    564.1 0.081011   13.6 0.000034 0.000469 0.081011 0.000000 0.000000 0.000000
2011 345  31 0.568930    0.0 0.000000 0.000000 0.004088 0.000705    564.1 0.081011    0.0 0.000000 0.000000 0.081011 0.000000 0.000000 0.000000
2011 346  32 0.545897  198.7 0.000133 0.026384 0.004189 0.000838    762.7 0.107395  223.9 0.000118 0.026384 0.107395 0.000000 0.000000 0.000000
2011 347  33 0.549746    0.0 0.000000 0.000000 0.004430 0.000581    762.7 0.107395    0.0 0.000000 0.000000 0.107395 0.000000 0.000000 0.000000
2011 348  34 0.553688    0.0 0.000000 0.000000 0.004983 0.001040    762.7 0.107395    0.0 0.000000 0.000000 0.107395 0.000000 0.000000 0.000000
2011 349  35 0.557652    0.0 0.000000 0.000000 0.005299 0.001335    762.7 0.107395    0.0 0.000000 0.000000 0.107395 0.000000 0.000000 0.000000
2011 350  36 0.561739    0.0 0.000000 0.000000 0.005467 0.001380    762.7 0.107395   11.4 0.000000 0.000000 0.107395 0.000000 0.000000 0.000000
2011 351  37 0.565851    0.0 0.000000 0.000000 0.005461 0.001350    762.7 0.107395    0.0 0.000000 0.000000 0.107395 0.000000 0.000000 0.000000
2011 352  38 0.569409    0.0 0.000000 0.000000 0.004192 0.000634    762.7 0.107395    9.7 0.000000 0.000000 0.107395 0.000000 0.000000 0.000000
2011 353  39 0.573398    0.0 0.000000 0.000000 0.004995 0.001006    762.7 0.107395    0.0 0.000000 0.000000 0.107395 0.000000 0.000000 0.000000
2011 354  40 0.577942    0.0 0.000000 0.000000 0.006030 0.001485    762.7 0.107395   10.1 0.000000 0.000000 0.107395 0.000000 0.000000 0.000000
2011 355  41 0.583158    0.0 0.000000 0.000000 0.007124 0.001908    762.7 0.107395    6.5 0.000000 0.000000 0.107395 0.000000 0.000000 0.000000
2011 356  42 0.589168    0.0 0.000000 0.000000 0.007589 0.001579    762.7 0.107395    0.0 0.000000 0.000000 0.107395 0.000000 0.000000 0.000000
2011 357  43 0.595232    2.0 0.000244 0.000491 0.008822 0.002267    764.8 0.107886   12.2 0.000040 0.000491 0.107886 0.000000 0.000000 0.000000
2011 358  44 0.600867    0.0 0.000000 0.000000 0.007657 0.002023    764.8 0.107886    0.0 0.000000 0.000000 0.107886 0.000000 0.000000 0.000000
2011 359  45 0.606590    0.0 0.000000 0.000000 0.007920 0.002197    764.8 0.107886    9.5 0.000000 0.000000 0.107886 0.000000 0.000000 0.000000
2011 360  46 0.611730    0.0 0.000000 0.000000 0.007144 0.002004    764.8 0.107886    0.0 0.000000 0.000000 0.107886 0.000000 0.000000 0.000000
2011 361  47 0.601143   73.5 0.000206 0.015122 0.006362 0.001827    838.3 0.123008   94.0 0.000161 0.015122 0.123008 0.000000 0.000000 0.000000
2011 362  48 0.605783    0.0 0.000000 0.000000 0.004988 0.000348    838.3 0.123008    0.0 0.000000 0.000000 0.123008 0.000000 0.000000 0.000000
2011 363  49 0.610261    0.0 0.000000 0.000000 0.005563 0.001086    838.3 0.123008    0.0 0.000000 0.000000 0.123008 0.000000 0.000000 0.000000
2011 364  50 0.615033    0.0 0.000000 0.000000 0.006086 0.001314    838.3 0.123008    8.1 0.000000 0.000000 0.123008 0.000000 0.000000 0.000000
2011 365  51 0.621130    0.0 0.000000 0.000000 0.007981 0.001884    838.3 0.123008    0.0 0.000000 0.000000 0.123008 0.000000 0.000000 0.000000
2012   1  52 0.626622    0.0 0.000000 0.000000 0.007694 0.002203    838.3 0.123008   10.1 0.000000 0.000000 0.123008 0.000000 0.000000 0.000000
2012   2  53 0.631327    0.0 0.000000 0.000000 0.006096 0.001390    838.3 0.123008    2.3 0.000000 0.000000 0.123008 0.000000 0.000000 0.000000
2012   3  54 0.635621    0.0 0.000000 0.000000 0.004301 0.000007    838.3 0.123008    7.6 0.000000 0.000000 0.123008 0.000000 0.000000 0.000000
2012   4  55 0.640217    0.0 0.000000 0.000000 0.004603 0.000007    838.3 0.123008    0.0 0.000000 0.000000 0.123008 0.000000 0.000000 0.000000
2012   5  56 0.645688    0.0 0.000000 0.000000 0.005712 0.000241    838.3 0.123008    7.4 0.000000 0.000000 0.123008 0.000000 0.000000 0.000000
2012   6  57 0.651229    0.0 0.000000 0.000000 0.007169 0.001628    838.3 0.123008    0.0 0.000000 0.000000 0.123008 0.000000 0.000000 0.000000
2012   7  58 0.657200    0.0 0.000000 0.000000 0.007991 0.002019    838.3 0.123008   11.0 0.000000 0.000000 0.123008 0.000000 0.000000 0.000000
2012   8  59 0.663622    0.0 0.000000 0.000000 0.008344 0.001923    838.3 0.123008    0.0 0.000000 0.000000 0.123008 0.000000 0.000000 0.000000
2012   9  60 0.670130    0.0 0.000000 0.000000 0.008787 0.002279    838.3 0.123008   12.0 0.000000 0.000000 0.123008 0.000000 0.000000 0.000000
2012  10  61 0.676725    0.0 0.000000 0.000000 0.008932 0.002337    838.3 0.123008    6.7 0.000000 0.000000 0.123008 0.000000 0.000000 0.000000
