 Run: data/cwarner/auto2012b          
 
			Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean
DOY	DAY	Ndays	SubN	SubN	SubN	DrCm3	DrCm3	DrCm3	DrNconc	DrNconc	DrNconc	DrainN	DrainN	DrainN	NReleas	NReleas	NReleas	NUptake	NUptake	NUptake	CumDr	CumDr	CumDr	CumDrN	CumDrN	CumDrN	ROcm3	ROcm3	ROcm3	RO_Ncon	RO_Ncon	RO_Ncon	Ro_N	Ro_N	Ro_N	CumRoN	CumRoN	CumRoN	THRU_N	THRU_N	THRU_N	IrN	IrN	IrN	CumIrN	CumIrN	CumIrN
289	1	1	0.58592	0.58592	0.58592	65.5	65.5	65.5	0.00020	0.00020	0.00020	0.01352	0.01352	0.01352	0.00000	0.00000	0	0.00055	0.00055	0.00055	65.5	65.5	65.5	0.01352	0.01352	0.01352	74.3	74.3	74.3	0.00018	0.00018	0.00018	0.01352	0.01352	0.01352	0.01352	0.01352	0.01352	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
316	2	1	0.58589	0.58589	0.58589	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00022	0.00022	0.00022	0.00024	0.00024	0.00024	65.5	65.5	65.5	0.01352	0.01352	0.01352	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.01352	0.01352	0.01352	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
317	3	1	0.58567	0.58567	0.58567	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00042	0.00042	0.00042	0.00064	0.00064	0.00064	65.5	65.5	65.5	0.01352	0.01352	0.01352	6.8	6.8	6.8	0.00000	0.00000	0	0.00000	0.00000	0	0.01352	0.01352	0.01352	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
318	4	1	0.58562	0.58562	0.58562	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00066	0.00066	0.00066	0.00072	0.00072	0.00072	65.5	65.5	65.5	0.01352	0.01352	0.01352	7.4	7.4	7.4	0.00000	0.00000	0	0.00000	0.00000	0	0.01352	0.01352	0.01352	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
319	5	1	0.58587	0.58587	0.58587	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00104	0.00104	0.00104	0.00079	0.00079	0.00079	65.5	65.5	65.5	0.01352	0.01352	0.01352	8.6	8.6	8.6	0.00000	0.00000	0	0.00000	0.00000	0	0.01352	0.01352	0.01352	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
320	6	1	0.58653	0.58653	0.58653	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00152	0.00152	0.00152	0.00085	0.00085	0.00085	65.5	65.5	65.5	0.01352	0.01352	0.01352	7.2	7.2	7.2	0.00000	0.00000	0	0.00000	0.00000	0	0.01352	0.01352	0.01352	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
321	7	1	0.55700	0.55700	0.557	271.4	271.4	271.4	0.00011	0.00011	0.00011	0.03005	0.03005	0.03005	0.00123	0.00123	0.00123	0.00072	0.00072	0.00072	336.8	336.8	336.8	0.04357	0.04357	0.04357	311.2	311.2	311.2	0.00009	0.00009	9.E-5	0.03005	0.03005	0.03005	0.04357	0.04357	0.04357	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
322	8	1	0.55748	0.55748	0.55748	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00104	0.00104	0.00104	0.00055	0.00055	0.00055	336.8	336.8	336.8	0.04357	0.04357	0.04357	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.04357	0.04357	0.04357	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
323	9	1	0.55803	0.55803	0.55803	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00129	0.00129	0.00129	0.00074	0.00074	0.00074	336.8	336.8	336.8	0.04357	0.04357	0.04357	0.4	0.4	0.4	0.00000	0.00000	0	0.00000	0.00000	0	0.04357	0.04357	0.04357	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
