 Run: data/cwarner/auto2012b          
 
			Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean
DOY	Day	Ndays	d_TW	d_TW	d_TW	d_RW	d_RW	d_RW	TW	TW	TW	RW	RW	RW	N_TOP	N_TOP	N_TOP	N_ROOT	N_ROOT	N_ROOT	Tact	Tact	Tact	Ract	Ract	Ract	Topt	Topt	Topt	Ropt	Ropt	Ropt	NDemand	NDemand	NDemand	NUptake	NUptake	NUptake	NSupply	NSupply	NSupply	NSUF	NSUF	NSUF	WSUF	WSUF	WSUF	NupCum	NupCum	NupCum
289	1	1	0.00112	0.00112	0.00112	0.01933	0.01933	0.01933	1.6	1.6	1.6	1.1	1.1	1.1	0.01921	0.01921	0.01921	0.01088	0.01088	0.01088	1.21	1.21	1.21	1.01	1.01	1.01	1.21	1.21	1.21	1.01	1.01	1.01	0.00055	0.00055	0.00055	0.00055	0.00055	0.00055	0.00332	0.00332	0.00332	1.000	1.000	1	1.000	1.000	1	0.001	0.001	0.001
316	2	1	0.00112	0.00112	0.00112	0.01873	0.01873	0.01873	1.6	1.6	1.6	1.1	1.1	1.1	0.01925	0.01925	0.01925	0.01109	0.01109	0.01109	1.21	1.21	1.21	1.01	1.01	1.01	1.21	1.21	1.21	1.01	1.01	1.01	0.00024	0.00024	0.00024	0.00024	0.00024	0.00024	0.00336	0.00336	0.00336	1.000	1.000	1	1.000	1.000	1	0.001	0.001	0.001
317	3	1	0.00112	0.00112	0.00112	0.04666	0.04666	0.04666	1.6	1.6	1.6	1.1	1.1	1.1	0.01936	0.01936	0.01936	0.01163	0.01163	0.01163	1.22	1.22	1.22	1.02	1.02	1.02	1.22	1.22	1.22	1.02	1.02	1.02	0.00064	0.00064	0.00064	0.00064	0.00064	0.00064	0.00341	0.00341	0.00341	1.000	1.000	1	1.000	1.000	1	0.001	0.001	0.001
318	4	1	0.00112	0.00112	0.00112	0.04898	0.04898	0.04898	1.6	1.6	1.6	1.2	1.2	1.2	0.01949	0.01949	0.01949	0.01222	0.01222	0.01222	1.23	1.23	1.23	1.03	1.03	1.03	1.23	1.23	1.23	1.03	1.03	1.03	0.00072	0.00072	0.00072	0.00072	0.00072	0.00072	0.00355	0.00355	0.00355	1.000	1.000	1	1.000	1.000	1	0.002	0.002	0.002
319	5	1	0.00112	0.00112	0.00112	0.04593	0.04593	0.04593	1.6	1.6	1.6	1.2	1.2	1.2	0.01968	0.01968	0.01968	0.01283	0.01283	0.01283	1.24	1.24	1.24	1.04	1.04	1.04	1.24	1.24	1.24	1.04	1.04	1.04	0.00079	0.00079	0.00079	0.00079	0.00079	0.00079	0.00369	0.00369	0.00369	1.000	1.000	1	1.000	1.000	1	0.003	0.003	0.003
320	6	1	0.00112	0.00112	0.00112	0.04478	0.04478	0.04478	1.6	1.6	1.6	1.3	1.3	1.3	0.01990	0.01990	0.01990	0.01346	0.01346	0.01346	1.25	1.25	1.25	1.05	1.05	1.05	1.25	1.25	1.25	1.05	1.05	1.05	0.00085	0.00085	0.00085	0.00085	0.00085	0.00085	0.00383	0.00383	0.00383	1.000	1.000	1	1.000	1.000	1	0.004	0.004	0.004
321	7	1	0.00112	0.00112	0.00112	0.03912	0.03912	0.03912	1.6	1.6	1.6	1.3	1.3	1.3	0.02008	0.02008	0.02008	0.01401	0.01401	0.01401	1.26	1.26	1.26	1.06	1.06	1.06	1.26	1.26	1.26	1.06	1.06	1.06	0.00072	0.00072	0.00072	0.00072	0.00072	0.00072	0.00396	0.00396	0.00396	1.000	1.000	1	1.000	1.000	1	0.005	0.005	0.005
322	8	1	0.00112	0.00112	0.00112	0.03190	0.03190	0.03190	1.6	1.6	1.6	1.4	1.4	1.4	0.02020	0.02020	0.02020	0.01444	0.01444	0.01444	1.27	1.27	1.27	1.07	1.07	1.07	1.27	1.27	1.27	1.07	1.07	1.07	0.00055	0.00055	0.00055	0.00055	0.00055	0.00055	0.00400	0.00400	0.00400	1.000	1.000	1	1.000	1.000	1	0.005	0.005	0.005
323	9	1	0.00112	0.00112	0.00112	0.04352	0.04352	0.04352	1.6	1.6	1.6	1.4	1.4	1.4	0.02036	0.02036	0.02036	0.01503	0.01503	0.01503	1.28	1.28	1.28	1.08	1.08	1.08	1.28	1.28	1.28	1.08	1.08	1.08	0.00074	0.00074	0.00074	0.00074	0.00074	0.00074	0.00410	0.00410	0.00410	1.000	1.000	1	1.000	1.000	1	0.006	0.006	0.006
324	10	1	0.00112	0.00112	0.00112	0.01728	0.01728	0.01728	1.6	1.6	1.6	1.4	1.4	1.4	0.02053	0.02053	0.02053	0.01536	0.01536	0.01536	1.29	1.29	1.29	1.09	1.09	1.09	1.29	1.29	1.29	1.09	1.09	1.09	0.00050	0.00050	0.00050	0.00050	0.00050	0.00050	0.00422	0.00422	0.00422	1.000	1.000	1	1.000	1.000	1	0.006	0.006	0.006
325	11	1	0.00564	0.00564	0.00564	0.04404	0.04404	0.04404	1.6	1.6	1.6	1.5	1.5	1.5	0.02076	0.02076	0.02076	0.01598	0.01598	0.01598	1.30	1.30	1.3	1.10	1.10	1.1	1.30	1.30	1.3	1.10	1.10	1.1	0.00084	0.00084	0.00084	0.00084	0.00084	0.00084	0.00427	0.00427	0.00427	1.000	1.000	1	1.000	1.000	1	0.007	0.007	0.007
326	12	1	0.00774	0.00774	0.00774	0.04281	0.04281	0.04281	1.6	1.6	1.6	1.5	1.5	1.5	0.02103	0.02103	0.02103	0.01660	0.01660	0.01660	1.31	1.31	1.31	1.11	1.11	1.11	1.31	1.31	1.31	1.11	1.11	1.11	0.00089	0.00089	0.00089	0.00089	0.00089	0.00089	0.00440	0.00440	0.00440	1.000	1.000	1	1.000	1.000	1	0.008	0.008	0.008
327	13	1	0.00985	0.00985	0.00985	0.03389	0.03389	0.03389	1.6	1.6	1.6	1.5	1.5	1.5	0.02133	0.02133	0.02133	0.01714	0.01714	0.01714	1.32	1.32	1.32	1.12	1.12	1.12	1.32	1.32	1.32	1.12	1.12	1.12	0.00083	0.00083	0.00083	0.00083	0.00083	0.00083	0.00452	0.00452	0.00452	1.000	1.000	1	1.000	1.000	1	0.009	0.009	0.009
328	14	1	0.00951	0.00951	0.00951	0.02647	0.02647	0.02647	1.6	1.6	1.6	1.6	1.6	1.6	0.02159	0.02159	0.02159	0.01757	0.01757	0.01757	1.33	1.33	1.33	1.13	1.13	1.13	1.33	1.33	1.33	1.13	1.13	1.13	0.00068	0.00068	0.00068	0.00068	0.00068	0.00068	0.00456	0.00456	0.00456	1.000	1.000	1	1.000	1.000	1	0.010	0.010	0.01
329	15	1	0.01069	0.01069	0.01069	0.04265	0.04265	0.04265	1.6	1.6	1.6	1.6	1.6	1.6	0.02186	0.02186	0.02186	0.01818	0.01818	0.01818	1.34	1.34	1.34	1.14	1.14	1.14	1.34	1.34	1.34	1.14	1.14	1.14	0.00088	0.00088	0.00088	0.00088	0.00088	0.00088	0.00463	0.00463	0.00463	1.000	1.000	1	1.000	1.000	1	0.011	0.011	0.011
330	16	1	0.01336	0.01336	0.01336	0.04039	0.04039	0.04039	1.7	1.7	1.7	1.6	1.6	1.6	0.02219	0.02219	0.02219	0.01878	0.01878	0.01878	1.34	1.34	1.34	1.14	1.14	1.14	1.34	1.34	1.34	1.14	1.14	1.14	0.00093	0.00093	0.00093	0.00093	0.00093	0.00093	0.00475	0.00475	0.00475	1.000	1.000	1	1.000	1.000	1	0.011	0.011	0.011
331	17	1	0.01713	0.01713	0.01713	0.03961	0.03961	0.03961	1.7	1.7	1.7	1.7	1.7	1.7	0.02259	0.02259	0.02259	0.01941	0.01941	0.01941	1.35	1.35	1.35	1.15	1.15	1.15	1.35	1.35	1.35	1.15	1.15	1.15	0.00102	0.00102	0.00102	0.00102	0.00102	0.00102	0.00487	0.00487	0.00487	1.000	1.000	1	1.000	1.000	1	0.012	0.012	0.012
332	18	1	0.01817	0.01817	0.01817	0.03972	0.03972	0.03972	1.7	1.7	1.7	1.7	1.7	1.7	0.02299	0.02299	0.02299	0.02003	0.02003	0.02003	1.36	1.36	1.36	1.16	1.16	1.16	1.36	1.36	1.36	1.16	1.16	1.16	0.00102	0.00102	0.00102	0.00102	0.00102	0.00102	0.00499	0.00499	0.00499	1.000	1.000	1	1.000	1.000	1	0.013	0.013	0.013
333	19	1	0.01265	0.01265	0.01265	0.00355	0.00355	0.00355	1.7	1.7	1.7	1.7	1.7	1.7	0.02327	0.02327	0.02327	0.02017	0.02017	0.02017	1.37	1.37	1.37	1.17	1.17	1.17	1.37	1.37	1.37	1.17	1.17	1.17	0.00041	0.00041	0.00041	0.00041	0.00041	0.00041	0.00508	0.00508	0.00508	1.000	1.000	1	1.000	1.000	1	0.014	0.014	0.014
334	20	1	0.00329	0.00329	0.00329	0.00036	0.00036	0.00036	1.7	1.7	1.7	1.7	1.7	1.7	0.02335	0.02335	0.02335	0.02021	0.02021	0.02021	1.37	1.37	1.37	1.17	1.17	1.17	1.37	1.37	1.37	1.17	1.17	1.17	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00509	0.00509	0.00509	1.000	1.000	1	1.000	1.000	1	0.014	0.014	0.014
335	21	1	0.00617	0.00617	0.00617	0.00890	0.00890	0.00890	1.7	1.7	1.7	1.7	1.7	1.7	0.02348	0.02348	0.02348	0.02036	0.02036	0.02036	1.37	1.37	1.37	1.17	1.17	1.17	1.37	1.37	1.37	1.17	1.17	1.17	0.00027	0.00027	0.00027	0.00027	0.00027	0.00027	0.00510	0.00510	0.00510	1.000	1.000	1	1.000	1.000	1	0.014	0.014	0.014
336	22	1	0.01245	0.01245	0.01245	0.02775	0.02775	0.02775	1.7	1.7	1.7	1.8	1.8	1.8	0.02374	0.02374	0.02374	0.02078	0.02078	0.02078	1.38	1.38	1.38	1.18	1.18	1.18	1.38	1.38	1.38	1.18	1.18	1.18	0.00067	0.00067	0.00067	0.00067	0.00067	0.00067	0.00513	0.00513	0.00513	1.000	1.000	1	1.000	1.000	1	0.015	0.015	0.015
