 RUN:  data/cwarner/auto2012b          
 
			Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean
DOY	DAY	Ndays	Tmean	Tmean	Tmean	VP	VP	VP	TFac	TFac	TFac	Rate	Rate	Rate	PRel	PRel	PRel	CumPRel	CumPRel	CumPRel	CRF_P	CRF_P	CRF_P	PDemand	PDemand	PDemand	FD	FD	FD	AvT	AvT	AvT	AvFD	AvFD	AvFD	PRel2	PRel2	PRel2	CRF_P2	CRF_P2	CRF_P2	AvT2	AvT2	AvT2	FD2	FD2	FD2	SUB_P	SUB_P	SUB_P	RD2	RD2	RD2
289	1	1	22.65	22.65	22.65	2.751	2.751	2.751	1.103	1.103	1.103	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0	0.43600	0.43600	0.436	0.00007	0.00007	7.E-5	234.9	234.9	234.9	22.7	22.7	22.7	234.9	234.9	234.9	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08614	0.08614	0.08614	-99	-99	-99
316	2	1	9.95	9.95	9.95	1.241	1.241	1.241	0.784	0.784	0.784	0.00007	0.00007	7.E-5	0.00003	0.00003	3.E-5	0.00003	0.00003	3.E-5	0.43596	0.43596	0.43596	0.00003	0.00003	3.E-5	330.3	330.3	330.3	16.4	16.4	16.4	282.6	282.6	282.6	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08614	0.08614	0.08614	-99	-99	-99
317	3	1	15.10	15.10	15.1	1.737	1.737	1.737	0.889	0.889	0.889	0.00014	0.00014	0.00014	0.00006	0.00006	6.E-5	0.00009	0.00009	9.E-5	0.43590	0.43590	0.43590	0.00008	0.00008	8.E-5	291.4	291.4	291.4	16.0	16.0	16	285.5	285.5	285.5	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08611	0.08611	0.08611	-99	-99	-99
318	4	1	18.00	18.00	18	2.091	2.091	2.091	0.963	0.963	0.963	0.00022	0.00022	0.00022	0.00009	0.00009	9.E-5	0.00019	0.00019	0.00019	0.43580	0.43580	0.43580	0.00009	0.00009	9.E-5	268.8	268.8	268.8	16.6	16.6	16.6	281.3	281.3	281.3	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08611	0.08611	0.08611	-99	-99	-99
319	5	1	21.80	21.80	21.8	2.630	2.630	2.63	1.077	1.077	1.077	0.00034	0.00034	0.00034	0.00015	0.00015	0.00015	0.00034	0.00034	0.00034	0.43565	0.43565	0.43565	0.00010	0.00010	0.00010	240.4	240.4	240.4	17.6	17.6	17.6	273.2	273.2	273.2	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08616	0.08616	0.08616	-99	-99	-99
320	6	1	24.75	24.75	24.75	3.144	3.144	3.144	1.186	1.186	1.186	0.00050	0.00050	0.00050	0.00022	0.00022	0.00022	0.00056	0.00056	0.00056	0.43543	0.43543	0.43543	0.00011	0.00011	0.00011	218.5	218.5	218.5	18.8	18.8	18.8	264.0	264.0	264	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08626	0.08626	0.08626	-99	-99	-99
321	7	1	19.05	19.05	19.05	2.215	2.215	2.215	0.990	0.990	0.99	0.00041	0.00041	0.00041	0.00018	0.00018	0.00018	0.00074	0.00074	0.00074	0.43525	0.43525	0.43525	0.00009	0.00009	9.E-5	261.7	261.7	261.7	18.9	18.9	18.9	263.7	263.7	263.7	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08413	0.08413	0.08413	-99	-99	-99
322	8	1	13.50	13.50	13.5	1.556	1.556	1.556	0.851	0.851	0.851	0.00034	0.00034	0.00034	0.00015	0.00015	0.00015	0.00089	0.00089	0.00089	0.43510	0.43510	0.43510	0.00007	0.00007	7.E-5	304.5	304.5	304.5	18.2	18.2	18.2	268.8	268.8	268.8	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08421	0.08421	0.08421	-99	-99	-99
323	9	1	15.25	15.25	15.25	1.752	1.752	1.752	0.892	0.892	0.892	0.00043	0.00043	0.00043	0.00018	0.00018	0.00018	0.00108	0.00108	0.00108	0.43491	0.43491	0.43491	0.00010	0.00010	0.00010	290.4	290.4	290.4	17.9	17.9	17.9	271.2	271.2	271.2	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08430	0.08430	0.08430	-99	-99	-99
