 RUN:  data/cwarner/auto2012b          
 
  YR DOY DAY     SubP  DrCm3  DrPconc   DrainP PRelease    PUptake     CumDr  CumDrP  ROcm3 RO_Pconc     Ro_P   CumRoP        THRU_P      IrP   CumIrP
1999 289   1 0.086141   65.5 0.000015 0.000983 0.000000 0.000077     65.5 0.000983   74.3 0.000013 0.000983 0.000983 0.000000 0.000000 0.000000
2011 316   2 0.086140    0.0 0.000000 0.000000 0.000032 0.000033     65.5 0.000983    0.0 0.000000 0.000000 0.000983 0.000000 0.000000 0.000000
2011 317   3 0.086116    0.0 0.000000 0.000000 0.000062 0.000086     65.5 0.000983    6.8 0.000000 0.000000 0.000983 0.000000 0.000000 0.000000
2011 318   4 0.086117    0.0 0.000000 0.000000 0.000097 0.000096     65.5 0.000983    7.4 0.000000 0.000000 0.000983 0.000000 0.000000 0.000000
2011 319   5 0.086161    0.0 0.000000 0.000000 0.000152 0.000108     65.5 0.000983    8.6 0.000000 0.000000 0.000983 0.000000 0.000000 0.000000
2011 320   6 0.086266    0.0 0.000000 0.000000 0.000221 0.000116     65.5 0.000983    7.2 0.000000 0.000000 0.000983 0.000000 0.000000 0.000000
2011 321   7 0.084138  271.4 0.000008 0.002210 0.000180 0.000098    336.8 0.003193  311.2 0.000007 0.002210 0.003193 0.000000 0.000000 0.000000
2011 322   8 0.084214    0.0 0.000000 0.000000 0.000152 0.000075    336.8 0.003193    0.0 0.000000 0.000000 0.003193 0.000000 0.000000 0.000000
2011 323   9 0.084301    0.0 0.000000 0.000000 0.000188 0.000101    336.8 0.003193    0.4 0.000000 0.000000 0.003193 0.000000 0.000000 0.000000
2011 324  10 0.084511    0.0 0.000000 0.000000 0.000280 0.000070    336.8 0.003193    9.4 0.000000 0.000000 0.003193 0.000000 0.000000 0.000000
2011 325  11 0.084693    0.0 0.000000 0.000000 0.000295 0.000114    336.8 0.003193    0.0 0.000000 0.000000 0.003193 0.000000 0.000000 0.000000
2011 326  12 0.084910    0.0 0.000000 0.000000 0.000337 0.000120    336.8 0.003193   11.8 0.000000 0.000000 0.003193 0.000000 0.000000 0.000000
2011 327  13 0.083346  161.9 0.000011 0.001786 0.000335 0.000113    498.7 0.004979  191.0 0.000009 0.001786 0.004979 0.000000 0.000000 0.000000
2011 328  14 0.083539    0.0 0.000000 0.000000 0.000286 0.000093    498.7 0.004979    0.0 0.000000 0.000000 0.004979 0.000000 0.000000 0.000000
2011 329  15 0.083754    0.0 0.000000 0.000000 0.000333 0.000119    498.7 0.004979    0.0 0.000000 0.000000 0.004979 0.000000 0.000000 0.000000
2011 330  16 0.084028    0.0 0.000000 0.000000 0.000399 0.000125    498.7 0.004979   10.3 0.000000 0.000000 0.004979 0.000000 0.000000 0.000000
2011 331  17 0.084352    0.0 0.000000 0.000000 0.000462 0.000137    498.7 0.004979    6.3 0.000000 0.000000 0.004979 0.000000 0.000000 0.000000
2011 332  18 0.084113   32.2 0.000016 0.000515 0.000412 0.000137    530.9 0.005493   46.1 0.000011 0.000515 0.005493 0.000000 0.000000 0.000000
2011 333  19 0.084380    0.0 0.000000 0.000000 0.000323 0.000056    530.9 0.005493    0.4 0.000000 0.000000 0.005493 0.000000 0.000000 0.000000
2011 334  20 0.084657    0.0 0.000000 0.000000 0.000294 0.000017    530.9 0.005493    0.0 0.000000 0.000000 0.005493 0.000000 0.000000 0.000000
2011 335  21 0.084944    0.0 0.000000 0.000000 0.000325 0.000037    530.9 0.005493    7.8 0.000000 0.000000 0.005493 0.000000 0.000000 0.000000
2011 336  22 0.085251    0.0 0.000000 0.000000 0.000397 0.000090    530.9 0.005493    0.0 0.000000 0.000000 0.005493 0.000000 0.000000 0.000000
2011 337  23 0.085595    0.0 0.000000 0.000000 0.000460 0.000115    530.9 0.005493   11.3 0.000000 0.000000 0.005493 0.000000 0.000000 0.000000
2011 338  24 0.085997    0.0 0.000000 0.000000 0.000560 0.000158    530.9 0.005493    6.4 0.000000 0.000000 0.005493 0.000000 0.000000 0.000000
2011 339  25 0.086460    0.0 0.000000 0.000000 0.000584 0.000121    530.9 0.005493    0.0 0.000000 0.000000 0.005493 0.000000 0.000000 0.000000
2011 340  26 0.086996    0.0 0.000000 0.000000 0.000709 0.000173    530.9 0.005493   10.1 0.000000 0.000000 0.005493 0.000000 0.000000 0.000000
