 RUN:  data/cwarner/auto2012b          
 
			Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean
DOY	DAY	Ndays	SubP	SubP	SubP	DrCm3	DrCm3	DrCm3	DrPconc	DrPconc	DrPconc	DrainP	DrainP	DrainP	PReleas	PReleas	PReleas	PUptake	PUptake	PUptake	CumDr	CumDr	CumDr	CumDrP	CumDrP	CumDrP	ROcm3	ROcm3	ROcm3	RO_Pcon	RO_Pcon	RO_Pcon	Ro_P	Ro_P	Ro_P	CumRoP	CumRoP	CumRoP	THRU_P	THRU_P	THRU_P	IrP	IrP	IrP	CumIrP	CumIrP	CumIrP
289	1	1	0.08614	0.08614	0.08614	65.5	65.5	65.5	0.00001	0.00001	1.E-5	0.00098	0.00098	0.00098	0.00000	0.00000	0	0.00007	0.00007	7.E-5	65.5	65.5	65.5	0.00098	0.00098	0.00098	74.3	74.3	74.3	0.00001	0.00001	1.E-5	0.00098	0.00098	0.00098	0.00098	0.00098	0.00098	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
316	2	1	0.08614	0.08614	0.08614	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00003	0.00003	3.E-5	0.00003	0.00003	3.E-5	65.5	65.5	65.5	0.00098	0.00098	0.00098	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00098	0.00098	0.00098	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
317	3	1	0.08611	0.08611	0.08611	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00006	0.00006	6.E-5	0.00008	0.00008	8.E-5	65.5	65.5	65.5	0.00098	0.00098	0.00098	6.8	6.8	6.8	0.00000	0.00000	0	0.00000	0.00000	0	0.00098	0.00098	0.00098	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
318	4	1	0.08611	0.08611	0.08611	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00009	0.00009	9.E-5	0.00009	0.00009	9.E-5	65.5	65.5	65.5	0.00098	0.00098	0.00098	7.4	7.4	7.4	0.00000	0.00000	0	0.00000	0.00000	0	0.00098	0.00098	0.00098	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
319	5	1	0.08616	0.08616	0.08616	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00015	0.00015	0.00015	0.00010	0.00010	0.00010	65.5	65.5	65.5	0.00098	0.00098	0.00098	8.6	8.6	8.6	0.00000	0.00000	0	0.00000	0.00000	0	0.00098	0.00098	0.00098	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
320	6	1	0.08626	0.08626	0.08626	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00022	0.00022	0.00022	0.00011	0.00011	0.00011	65.5	65.5	65.5	0.00098	0.00098	0.00098	7.2	7.2	7.2	0.00000	0.00000	0	0.00000	0.00000	0	0.00098	0.00098	0.00098	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
321	7	1	0.08413	0.08413	0.08413	271.4	271.4	271.4	0.00000	0.00000	8.E-6	0.00221	0.00221	0.00221	0.00018	0.00018	0.00018	0.00009	0.00009	9.E-5	336.8	336.8	336.8	0.00319	0.00319	0.00319	311.2	311.2	311.2	0.00000	0.00000	7.E-6	0.00221	0.00221	0.00221	0.00319	0.00319	0.00319	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
322	8	1	0.08421	0.08421	0.08421	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00015	0.00015	0.00015	0.00007	0.00007	7.E-5	336.8	336.8	336.8	0.00319	0.00319	0.00319	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00319	0.00319	0.00319	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
323	9	1	0.08430	0.08430	0.08430	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00018	0.00018	0.00018	0.00010	0.00010	0.00010	336.8	336.8	336.8	0.00319	0.00319	0.00319	0.4	0.4	0.4	0.00000	0.00000	0	0.00000	0.00000	0	0.00319	0.00319	0.00319	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
