 RUN:  data/cwarner/auto2012b          
 
			Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean
DOY	Day	Ndays	d_TW	d_TW	d_TW	d_RW	d_RW	d_RW	TW	TW	TW	RW	RW	RW	P_TOP	P_TOP	P_TOP	P_ROOT	P_ROOT	P_ROOT	Tact	Tact	Tact	Ract	Ract	Ract	Topt	Topt	Topt	Ropt	Ropt	Ropt	PDemand	PDemand	PDemand	PUptake	PUptake	PUptake	PSupply	PSupply	PSupply	PSUF	PSUF	PSUF	WSUF	WSUF	WSUF	PupCum	PupCum	PupCum
289	1	1	0.00112	0.00112	0.00112	0.01933	0.01933	0.01933	1.6	1.6	1.6	1.1	1.1	1.1	0.00240	0.00240	0.00240	0.00141	0.00141	0.00141	0.15	0.15	0.15	0.13	0.13	0.13	0.15	0.15	0.15	0.13	0.13	0.13	0.00007	0.00007	7.E-5	0.00007	0.00007	7.E-5	0.05428	0.05428	0.05428	1.000	1.000	1	1.000	1.000	1	0.000	0.000	0
316	2	1	0.00112	0.00112	0.00112	0.01873	0.01873	0.01873	1.6	1.6	1.6	1.1	1.1	1.1	0.00241	0.00241	0.00241	0.00144	0.00144	0.00144	0.15	0.15	0.15	0.13	0.13	0.13	0.15	0.15	0.15	0.13	0.13	0.13	0.00003	0.00003	3.E-5	0.00003	0.00003	3.E-5	0.05441	0.05441	0.05441	1.000	1.000	1	1.000	1.000	1	0.000	0.000	0
317	3	1	0.00112	0.00112	0.00112	0.04666	0.04666	0.04666	1.6	1.6	1.6	1.1	1.1	1.1	0.00242	0.00242	0.00242	0.00151	0.00151	0.00151	0.15	0.15	0.15	0.13	0.13	0.13	0.15	0.15	0.15	0.13	0.13	0.13	0.00008	0.00008	8.E-5	0.00008	0.00008	8.E-5	0.05530	0.05530	0.05530	1.000	1.000	1	1.000	1.000	1	0.000	0.000	0
318	4	1	0.00112	0.00112	0.00112	0.04898	0.04898	0.04898	1.6	1.6	1.6	1.2	1.2	1.2	0.00244	0.00244	0.00244	0.00159	0.00159	0.00159	0.15	0.15	0.15	0.13	0.13	0.13	0.15	0.15	0.15	0.13	0.13	0.13	0.00009	0.00009	9.E-5	0.00009	0.00009	9.E-5	0.05751	0.05751	0.05751	1.000	1.000	1	1.000	1.000	1	0.000	0.000	0
319	5	1	0.00112	0.00112	0.00112	0.04593	0.04593	0.04593	1.6	1.6	1.6	1.2	1.2	1.2	0.00247	0.00247	0.00247	0.00167	0.00167	0.00167	0.16	0.16	0.16	0.14	0.14	0.14	0.16	0.16	0.16	0.14	0.14	0.14	0.00010	0.00010	0.00010	0.00010	0.00010	0.00010	0.05984	0.05984	0.05984	1.000	1.000	1	1.000	1.000	1	0.000	0.000	0
320	6	1	0.00112	0.00112	0.00112	0.04478	0.04478	0.04478	1.6	1.6	1.6	1.3	1.3	1.3	0.00250	0.00250	0.00250	0.00175	0.00175	0.00175	0.16	0.16	0.16	0.14	0.14	0.14	0.16	0.16	0.16	0.14	0.14	0.14	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.06205	0.06205	0.06205	1.000	1.000	1	1.000	1.000	1	0.001	0.001	0.001
321	7	1	0.00112	0.00112	0.00112	0.03912	0.03912	0.03912	1.6	1.6	1.6	1.3	1.3	1.3	0.00252	0.00252	0.00252	0.00183	0.00183	0.00183	0.16	0.16	0.16	0.14	0.14	0.14	0.16	0.16	0.16	0.14	0.14	0.14	0.00009	0.00009	9.E-5	0.00009	0.00009	9.E-5	0.06426	0.06426	0.06426	1.000	1.000	1	1.000	1.000	1	0.001	0.001	0.001
322	8	1	0.00112	0.00112	0.00112	0.03190	0.03190	0.03190	1.6	1.6	1.6	1.4	1.4	1.4	0.00254	0.00254	0.00254	0.00189	0.00189	0.00189	0.16	0.16	0.16	0.14	0.14	0.14	0.16	0.16	0.16	0.14	0.14	0.14	0.00007	0.00007	7.E-5	0.00007	0.00007	7.E-5	0.06409	0.06409	0.06409	1.000	1.000	1	1.000	1.000	1	0.001	0.001	0.001
323	9	1	0.00112	0.00112	0.00112	0.04352	0.04352	0.04352	1.6	1.6	1.6	1.4	1.4	1.4	0.00256	0.00256	0.00256	0.00196	0.00196	0.00196	0.16	0.16	0.16	0.14	0.14	0.14	0.16	0.16	0.16	0.14	0.14	0.14	0.00010	0.00010	0.00010	0.00010	0.00010	0.00010	0.06561	0.06561	0.06561	1.000	1.000	1	1.000	1.000	1	0.001	0.001	0.001
324	10	1	0.00112	0.00112	0.00112	0.01728	0.01728	0.01728	1.6	1.6	1.6	1.4	1.4	1.4	0.00259	0.00259	0.00259	0.00201	0.00201	0.00201	0.16	0.16	0.16	0.14	0.14	0.14	0.16	0.16	0.16	0.14	0.14	0.14	0.00007	0.00007	7.E-5	0.00007	0.00007	7.E-5	0.06767	0.06767	0.06767	1.000	1.000	1	1.000	1.000	1	0.001	0.001	0.001
325	11	1	0.00564	0.00564	0.00564	0.04404	0.04404	0.04404	1.6	1.6	1.6	1.5	1.5	1.5	0.00262	0.00262	0.00262	0.00209	0.00209	0.00209	0.16	0.16	0.16	0.14	0.14	0.14	0.16	0.16	0.16	0.14	0.14	0.14	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.06866	0.06866	0.06866	1.000	1.000	1	1.000	1.000	1	0.001	0.001	0.001
326	12	1	0.00774	0.00774	0.00774	0.04281	0.04281	0.04281	1.6	1.6	1.6	1.5	1.5	1.5	0.00266	0.00266	0.00266	0.00218	0.00218	0.00218	0.17	0.17	0.17	0.15	0.15	0.15	0.17	0.17	0.17	0.15	0.15	0.15	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.07084	0.07084	0.07084	1.000	1.000	1	1.000	1.000	1	0.001	0.001	0.001
327	13	1	0.00985	0.00985	0.00985	0.03389	0.03389	0.03389	1.6	1.6	1.6	1.5	1.5	1.5	0.00270	0.00270	0.00270	0.00225	0.00225	0.00225	0.17	0.17	0.17	0.15	0.15	0.15	0.17	0.17	0.17	0.15	0.15	0.15	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.07300	0.07300	0.07300	1.000	1.000	1	1.000	1.000	1	0.001	0.001	0.001
328	14	1	0.00951	0.00951	0.00951	0.02647	0.02647	0.02647	1.6	1.6	1.6	1.6	1.6	1.6	0.00273	0.00273	0.00273	0.00231	0.00231	0.00231	0.17	0.17	0.17	0.15	0.15	0.15	0.17	0.17	0.17	0.15	0.15	0.15	0.00009	0.00009	9.E-5	0.00009	0.00009	9.E-5	0.07283	0.07283	0.07283	1.000	1.000	1	1.000	1.000	1	0.001	0.001	0.001
329	15	1	0.01069	0.01069	0.01069	0.04265	0.04265	0.04265	1.6	1.6	1.6	1.6	1.6	1.6	0.00277	0.00277	0.00277	0.00239	0.00239	0.00239	0.17	0.17	0.17	0.15	0.15	0.15	0.17	0.17	0.17	0.15	0.15	0.15	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.07420	0.07420	0.07420	1.000	1.000	1	1.000	1.000	1	0.001	0.001	0.001
330	16	1	0.01336	0.01336	0.01336	0.04039	0.04039	0.04039	1.7	1.7	1.7	1.6	1.6	1.6	0.00281	0.00281	0.00281	0.00247	0.00247	0.00247	0.17	0.17	0.17	0.15	0.15	0.15	0.17	0.17	0.17	0.15	0.15	0.15	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.07632	0.07632	0.07632	1.000	1.000	1	1.000	1.000	1	0.002	0.002	0.002
331	17	1	0.01713	0.01713	0.01713	0.03961	0.03961	0.03961	1.7	1.7	1.7	1.7	1.7	1.7	0.00287	0.00287	0.00287	0.00255	0.00255	0.00255	0.17	0.17	0.17	0.15	0.15	0.15	0.17	0.17	0.17	0.15	0.15	0.15	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.07841	0.07841	0.07841	1.000	1.000	1	1.000	1.000	1	0.002	0.002	0.002
332	18	1	0.01817	0.01817	0.01817	0.03972	0.03972	0.03972	1.7	1.7	1.7	1.7	1.7	1.7	0.00292	0.00292	0.00292	0.00264	0.00264	0.00264	0.17	0.17	0.17	0.15	0.15	0.15	0.17	0.17	0.17	0.15	0.15	0.15	0.00013	0.00013	0.00013	0.00013	0.00013	0.00013	0.08053	0.08053	0.08053	1.000	1.000	1	1.000	1.000	1	0.002	0.002	0.002
333	19	1	0.01265	0.01265	0.01265	0.00355	0.00355	0.00355	1.7	1.7	1.7	1.7	1.7	1.7	0.00296	0.00296	0.00296	0.00266	0.00266	0.00266	0.17	0.17	0.17	0.15	0.15	0.15	0.17	0.17	0.17	0.15	0.15	0.15	0.00005	0.00005	5.E-5	0.00005	0.00005	5.E-5	0.08199	0.08199	0.08199	1.000	1.000	1	1.000	1.000	1	0.002	0.002	0.002
334	20	1	0.00329	0.00329	0.00329	0.00036	0.00036	0.00036	1.7	1.7	1.7	1.7	1.7	1.7	0.00297	0.00297	0.00297	0.00266	0.00266	0.00266	0.17	0.17	0.17	0.15	0.15	0.15	0.17	0.17	0.17	0.15	0.15	0.15	0.00001	0.00001	1.E-5	0.00001	0.00001	1.E-5	0.08247	0.08247	0.08247	1.000	1.000	1	1.000	1.000	1	0.002	0.002	0.002
335	21	1	0.00617	0.00617	0.00617	0.00890	0.00890	0.00890	1.7	1.7	1.7	1.7	1.7	1.7	0.00298	0.00298	0.00298	0.00268	0.00268	0.00268	0.17	0.17	0.17	0.15	0.15	0.15	0.17	0.17	0.17	0.15	0.15	0.15	0.00003	0.00003	3.E-5	0.00003	0.00003	3.E-5	0.08282	0.08282	0.08282	1.000	1.000	1	1.000	1.000	1	0.002	0.002	0.002
336	22	1	0.01245	0.01245	0.01245	0.02775	0.02775	0.02775	1.7	1.7	1.7	1.8	1.8	1.8	0.00302	0.00302	0.00302	0.00274	0.00274	0.00274	0.18	0.18	0.18	0.16	0.16	0.16	0.18	0.18	0.18	0.16	0.16	0.16	0.00009	0.00009	9.E-5	0.00009	0.00009	9.E-5	0.08356	0.08356	0.08356	1.000	1.000	1	1.000	1.000	1	0.002	0.002	0.002
