 Run: data/cwarner/auto2012b          
 
			Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean
DOY	DAY	Ndays	LA	LA	LA	LAI	LAI	LAI	TW	TW	TW	RW	RW	RW	DT	DT	DT	SRad	SRad	SRad	TMIN	TMIN	TMIN	TMAX	TMAX	TMAX	Ra	Ra	Ra	Ir	Ir	Ir	CF	CF	CF	P_Ra	P_Ra	P_Ra	P_Ir	P_Ir	P_Ir	Sw	Sw	Sw	P_Dr	P_Dr	P_Dr	Ro	Ro	Ro	P_Et	P_Et	P_Et	HT	HT	HT	Et	Et	Et	P_Ar	P_Ar	P_Ar
289	1	1	150.1	150.1	150.1	0.68	0.68	0.68	1.6	1.6	1.6	1.1	1.1	1.1	1.0	1.0	1	4.6	4.6	4.6	21.1	21.1	21.1	24.2	24.2	24.2	0.43	0.43	0.43	0.00	0.00	0	1.00	1.00	1	0.43	0.43	0.43	0.00	0.00	0	5.968	5.968	5.968	0.33	0.33	0.33	0.34	0.34	0.34	0.10	0.10	0.1	14.0	14.0	14	0.09	0.09	0.09	221.7	221.7	221.7
316	2	1	150.2	150.2	150.2	0.68	0.68	0.68	1.6	1.6	1.6	1.1	1.1	1.1	1.1	1.1	1.1	14.9	14.9	14.9	-3.0	-3.0	-3	22.9	22.9	22.9	0.00	0.00	0	0.00	0.00	0	1.00	1.00	1	0.00	0.00	0	0.00	0.00	0	5.641	5.641	5.641	0.00	0.00	0	0.00	0.00	0	0.33	0.33	0.33	14.0	14.0	14	0.30	0.30	0.3	221.7	221.7	221.7
317	3	1	150.3	150.3	150.3	0.68	0.68	0.68	1.6	1.6	1.6	1.1	1.1	1.1	1.6	1.6	1.6	13.7	13.7	13.7	4.6	4.6	4.6	25.6	25.6	25.6	0.00	0.00	0	0.33	0.33	0.33	1.00	1.00	1	0.00	0.00	0	0.33	0.33	0.33	5.611	5.611	5.611	0.00	0.00	0	0.03	0.03	0.03	0.36	0.36	0.36	14.0	14.0	14	0.32	0.32	0.32	221.7	221.7	221.7
318	4	1	150.4	150.4	150.4	0.68	0.68	0.68	1.6	1.6	1.6	1.2	1.2	1.2	2.1	2.1	2.1	14.2	14.2	14.2	7.6	7.6	7.6	28.4	28.4	28.4	0.00	0.00	0	0.36	0.36	0.36	1.00	1.00	1	0.00	0.00	0	0.36	0.36	0.36	5.553	5.553	5.553	0.00	0.00	0	0.03	0.03	0.03	0.41	0.41	0.41	14.0	14.0	14	0.38	0.38	0.38	221.7	221.7	221.7
319	5	1	150.5	150.5	150.5	0.68	0.68	0.68	1.6	1.6	1.6	1.2	1.2	1.2	3.0	3.0	3	10.8	10.8	10.8	14.3	14.3	14.3	29.3	29.3	29.3	0.00	0.00	0	0.41	0.41	0.41	1.00	1.00	1	0.00	0.00	0	0.41	0.41	0.41	5.621	5.621	5.621	0.00	0.00	0	0.04	0.04	0.04	0.35	0.35	0.35	14.0	14.0	14	0.32	0.32	0.32	221.7	221.7	221.7
320	6	1	150.6	150.6	150.6	0.68	0.68	0.68	1.6	1.6	1.6	1.3	1.3	1.3	4.0	4.0	4	10.8	10.8	10.8	19.7	19.7	19.7	29.8	29.8	29.8	0.00	0.00	0	0.35	0.35	0.35	1.00	1.00	1	0.00	0.00	0	0.35	0.35	0.35	5.649	5.649	5.649	0.00	0.00	0	0.03	0.03	0.03	0.32	0.32	0.32	14.0	14.0	14	0.29	0.29	0.29	221.7	221.7	221.7
321	7	1	150.7	150.7	150.7	0.68	0.68	0.68	1.6	1.6	1.6	1.3	1.3	1.3	4.8	4.8	4.8	9.2	9.2	9.2	12.5	12.5	12.5	25.6	25.6	25.6	1.61	1.61	1.61	0.32	0.32	0.32	1.00	1.00	1	1.61	1.61	1.61	0.32	0.32	0.32	5.968	5.968	5.968	1.35	1.35	1.35	1.40	1.40	1.4	0.26	0.26	0.26	14.0	14.0	14	0.24	0.24	0.24	221.7	221.7	221.7
322	8	1	150.8	150.8	150.8	0.68	0.68	0.68	1.6	1.6	1.6	1.4	1.4	1.4	5.3	5.3	5.3	9.7	9.7	9.7	6.6	6.6	6.6	20.4	20.4	20.4	0.00	0.00	0	0.00	0.00	0	1.00	1.00	1	0.00	0.00	0	0.00	0.00	0	5.750	5.750	5.75	0.00	0.00	0	0.00	0.00	0	0.22	0.22	0.22	14.0	14.0	14	0.20	0.20	0.2	221.7	221.7	221.7
323	9	1	150.9	150.9	150.9	0.68	0.68	0.68	1.6	1.6	1.6	1.4	1.4	1.4	6.0	6.0	6	12.6	12.6	12.6	10.4	10.4	10.4	20.1	20.1	20.1	0.02	0.02	0.02	0.00	0.00	0	1.00	1.00	1	0.02	0.02	0.02	0.00	0.00	0	5.514	5.514	5.514	0.00	0.00	0	0.00	0.00	0	0.26	0.26	0.26	14.0	14.0	14	0.23	0.23	0.23	221.7	221.7	221.7
