 Run: data/cwarner/testdate1          
 
 CRF_N  CRF_DAYS
 3.00   259
 
  YR DOY DAY Tmean    VP  TFac     Rate     NRel    CumNRel    CRF_N  NDemand   NFD  AvT AvNFD    NRel2   CRF_N2 AvT2  NFD2    SUB_N  RD2
2000   5   1  8.45 1.125 0.760 0.000000 0.000000  0.000000  3.000000 0.008404 340.9  8.7 340.9 0.000000 0.000000  0.0   0.0 0.599032  -99
2000   6   2 14.30 1.638 0.868 0.000091 0.000272  0.000272  2.999728 0.007578 298.4 11.5 319.6 0.000000 0.000000  0.0   0.0 0.598336  -99
2000   7   3 14.45 1.650 0.871 0.000137 0.000410  0.000681  2.999319 0.006815 297.5 12.5 312.3 0.000000 0.000000  0.0   0.0 0.582529  -99
2000   8   4 16.25 1.859 0.915 0.000201 0.000603  0.001284  2.998716 0.006075 283.2 13.5 305.0 0.000000 0.000000  0.0   0.0 0.582152  -99
2000   9   5 18.05 2.089 0.963 0.000279 0.000836  0.002120  2.997880 0.005411 268.9 14.4 297.8 0.000000 0.000000  0.0   0.0 0.581986  -99
2000  10   6 17.95 2.062 0.957 0.000330 0.000991  0.003112  2.996888 0.004765 270.5 15.0 293.2 0.000000 0.000000  0.0   0.0 0.558209  -99
2000  11   7 13.80 1.603 0.861 0.000311 0.000934  0.004046  2.995954 0.004089 300.9 14.9 294.3 0.000000 0.000000  0.0   0.0 0.558077  -99
2000  12   8 15.05 1.738 0.889 0.000380 0.001140  0.005186  2.994814 0.003514 291.3 14.9 294.0 0.000000 0.000000  0.0   0.0 0.558089  -99
2000  13   9 13.75 1.593 0.858 0.000398 0.001195  0.006381  2.993619 0.002846 301.7 14.8 294.8 0.000000 0.000000  0.0   0.0 0.558065  -99
2000  14  10  5.45 0.916 0.716 0.000308 0.000923  0.007304  2.992696 0.001630 361.9 13.9 301.5 0.000000 0.000000  0.0   0.0 0.557678  -99
2000  15  11  6.25 0.966 0.726 0.000349 0.001046  0.008350  2.991650 0.000331 356.6 13.2 306.5 0.000000 0.000000  0.0   0.0 0.558393  -99
2000  16  12  9.50 1.206 0.777 0.000435 0.001305  0.009655  2.990345 0.000198 333.4 12.9 308.8 0.000000 0.000000  0.0   0.0 0.559499  -99
2000  17  13 10.20 1.246 0.785 0.000482 0.001445  0.011100  2.988900 0.000234 329.9 12.7 310.4 0.000000 0.000000  0.0   0.0 0.560710  -99
2000  18  14 15.00 1.722 0.886 0.000660 0.001979  0.013079  2.986921 0.000637 292.5 12.9 309.1 0.000000 0.000000  0.0   0.0 0.562051  -99
2000  19  15 15.15 1.723 0.886 0.000707 0.002121  0.015200  2.984800 0.000540 292.4 13.0 308.0 0.000000 0.000000  0.0   0.0 0.563633  -99
2000  20  16 13.80 1.597 0.859 0.000710 0.002130  0.017329  2.982671 0.000623 301.4 13.1 307.6 0.000000 0.000000  0.0   0.0 0.565139  -99
2000  21  17  4.90 0.881 0.708 0.000512 0.001537  0.018867  2.981133 0.000003 365.6 12.6 311.0 0.000000 0.000000  0.0   0.0 0.566674  -99
2000  22  18  7.00 1.017 0.737 0.000587 0.001762  0.020629  2.979371 0.000016 351.4 12.3 313.2 0.000000 0.000000  0.0   0.0 0.568420  -99
2000  23  19 13.15 1.523 0.844 0.000813 0.002438  0.023067  2.976933 0.000502 307.0 12.4 312.9 0.000000 0.000000  0.0   0.0 0.547024  -99
2000  24  20 10.25 1.249 0.786 0.000742 0.002227  0.025293  2.974706 0.000199 329.5 12.3 313.7 0.000000 0.000000  0.0   0.0 0.520321  -99
2000  25  21  5.10 0.888 0.710 0.000635 0.001906  0.027200  2.972800 0.000003 365.0 11.9 316.2 0.000000 0.000000  0.0   0.0 0.509573  -99
2000  26  22  1.55 0.696 0.669 0.000592 0.001776  0.028976  2.971025 0.000003 387.0 11.5 319.4 0.000000 0.000000  0.0   0.0 0.508098  -99
2000  27  23  2.00 0.716 0.674 0.000627 0.001881  0.030856  2.969144 0.000003 384.5 11.1 322.2 0.000000 0.000000  0.0   0.0 0.509975  -99
2000  28  24  6.65 0.978 0.729 0.000766 0.002298  0.033154  2.966846 0.000017 355.4 10.9 323.6 0.000000 0.000000  0.0   0.0 0.493653  -99
2000  29  25 14.25 1.626 0.865 0.001125 0.003375  0.036529  2.963471 0.000578 299.3 11.0 322.6 0.000000 0.000000  0.0   0.0 0.496450  -99
2000  30  26 15.80 1.804 0.903 0.001274 0.003821  0.040350  2.959650 0.000764 286.8 11.2 321.3 0.000000 0.000000  0.0   0.0 0.476256  -99
2000  31  27  5.95 0.933 0.719 0.000839 0.002517  0.042867  2.957133 0.000003 360.1 11.0 322.7 0.000000 0.000000  0.0   0.0 0.477832  -99
2000  32  28  6.90 1.009 0.735 0.000910 0.002729  0.045596  2.954405 0.000031 352.2 10.9 323.8 0.000000 0.000000  0.0   0.0 0.480530  -99
2000  33  29  9.60 1.213 0.778 0.001055 0.003166  0.048762  2.951238 0.000376 332.8 10.8 324.1 0.000000 0.000000  0.0   0.0 0.483320  -99
2000  34  30 10.80 1.310 0.799 0.001150 0.003449  0.052211  2.947789 0.000467 324.3 10.8 324.1 0.000000 0.000000  0.0   0.0 0.486302  -99
