 Run: data/cwarner/testdate1          
 
  YR DOY DAY      LA   LAI    TW    RW     DT SRad TMIN TMAX    Ra   Ir   CF  P_Ra  P_Ir    Sw  P_Dr    Ro P_Et    HT   Et   P_Ar
2000   5   1   150.0  0.68   1.7   0.4    6.7 14.5  1.3 15.6  0.00 0.00 1.00  0.00  0.00 5.750  0.00  0.00 0.22  14.0 0.20  221.7
2000   6   2   150.0  0.68   1.7   0.4    7.1  8.8  4.7 23.9  0.00 0.00 1.00  0.00  0.00 5.597  0.00  0.00 0.15  14.0 0.14  221.7
2000   7   3   150.1  0.68   1.7   0.4    7.7  6.7  9.2 19.7  0.38 0.37 1.00  0.38  0.37 5.852  0.38  0.41 0.12  14.0 0.11  221.7
2000   8   4   150.2  0.68   1.7   0.4    8.3  9.5  7.3 25.2  0.00 0.00 1.00  0.00  0.00 5.679  0.00  0.00 0.17  14.0 0.16  221.7
2000   9   5   150.4  0.68   1.7   0.4    8.9 11.2  9.5 26.6  0.00 0.00 1.00  0.00  0.00 5.468  0.00  0.00 0.21  14.0 0.19  221.7
2000  10   6   150.7  0.68   1.7   0.5    9.7  6.5 11.8 24.1  0.76 0.50 1.00  0.76  0.50 5.846  0.76  0.81 0.12  14.0 0.11  221.7
2000  11   7   151.1  0.68   1.7   0.5   10.1 14.4  4.3 23.3  0.03 0.00 1.00  0.03  0.00 5.628  0.00  0.00 0.25  14.0 0.23  221.7
2000  12   8   151.5  0.68   1.7   0.5   10.5 14.4  4.4 25.7  0.00 0.34 1.00  0.00  0.34 5.713  0.00  0.03 0.26  14.1 0.23  221.7
2000  13   9   152.0  0.69   1.7   0.6   10.9 13.2  2.0 25.5  0.10 0.00 1.00  0.10  0.00 5.586  0.00  0.01 0.23  14.1 0.21  221.7
2000  14  10   152.0  0.69   1.7   0.6   10.9 15.2 -3.7 14.6  0.00 0.38 1.00  0.00  0.38 5.760  0.00  0.04 0.21  14.1 0.19  221.7
2000  15  11   152.0  0.69   1.7   0.6   10.9 14.5 -4.7 17.2  0.00 0.00 1.00  0.00  0.00 5.556  0.00  0.00 0.20  14.1 0.18  221.7
2000  16  12   152.2  0.69   1.7   0.6   11.1 14.7 -1.9 20.9  0.00 0.41 1.00  0.00  0.41 5.741  0.00  0.04 0.23  14.1 0.21  221.7
2000  17  13   152.7  0.69   1.7   0.6   11.4  5.0  2.6 17.8  0.00 0.00 1.00  0.00  0.00 5.663  0.00  0.00 0.08  14.1 0.07  221.7
2000  18  14   153.6  0.69   1.7   0.6   12.0 11.8  7.5 22.5  0.00 0.31 1.00  0.00  0.31 5.760  0.00  0.03 0.21  14.1 0.19  221.7
2000  19  15   155.0  0.70   1.7   0.6   12.8  4.0 12.7 17.6  0.05 0.00 1.00  0.05  0.00 5.739  0.00  0.00 0.07  14.2 0.06  221.7
2000  20  16   156.0  0.70   1.7   0.7   13.3 13.2  6.4 21.2  0.00 0.00 1.00  0.00  0.00 5.511  0.00  0.00 0.23  14.2 0.21  221.7
2000  21  17   156.0  0.70   1.7   0.7   13.3 15.5 -3.0 12.8  0.00 0.46 1.00  0.00  0.46 5.760  0.00  0.04 0.21  14.2 0.19  221.7
2000  22  18   156.0  0.70   1.7   0.7   13.3 14.9 -4.8 18.8  0.00 0.00 1.00  0.00  0.00 5.545  0.00  0.00 0.21  14.2 0.19  221.7
2000  23  19   156.7  0.71   1.7   0.7   13.7 10.9  1.9 24.4  3.20 0.42 1.00  3.20  0.42 5.784  3.20  3.24 0.18  14.2 0.17  221.7
2000  24  20   157.2  0.71   1.7   0.7   14.0  1.4  5.2 15.3  1.83 0.00 1.00  1.83  0.00 5.946  1.65  1.66 0.02  14.3 0.02  221.7
2000  25  21   157.2  0.71   1.7   0.7   14.0 12.6  0.2 10.0  0.38 0.00 1.00  0.38  0.00 5.798  0.36  0.36 0.17  14.3 0.15  221.7
2000  26  22   157.2  0.71   1.7   0.7   14.0 16.1 -4.6  7.7  0.25 0.00 1.00  0.25  0.00 5.775  0.08  0.10 0.19  14.3 0.17  221.7
2000  27  23   157.2  0.71   1.7   0.7   14.1 15.0 -6.1 10.1  0.00 0.00 1.00  0.00  0.00 5.593  0.00  0.00 0.18  14.3 0.17  221.7
2000  28  24   157.2  0.71   1.7   0.7   14.1  3.5  1.5 11.8  0.63 0.38 1.00  0.63  0.38 5.919  0.63  0.66 0.05  14.3 0.04  221.7
2000  29  25   158.7  0.72   1.7   0.7   14.8  5.1  9.6 18.9  0.03 0.00 1.00  0.03  0.00 5.860  0.00  0.00 0.09  14.3 0.08  221.7
2000  30  26   160.2  0.72   1.8   0.8   15.3  9.8  7.8 23.8  1.12 0.00 1.00  1.12  0.00 5.792  1.01  1.02 0.18  14.4 0.16  221.7
2000  31  27   160.2  0.72   1.8   0.8   15.3  5.3  2.9  9.0  0.20 0.00 1.00  0.20  0.00 5.895  0.02  0.04 0.07  14.4 0.07  221.7
2000  32  28   160.2  0.72   1.8   0.8   15.4 15.1 -1.7 15.5  0.00 0.00 1.00  0.00  0.00 5.679  0.00  0.00 0.22  14.4 0.20  221.7
2000  33  29   161.1  0.73   1.8   0.8   15.8 15.3  2.3 16.9  0.00 0.00 1.00  0.00  0.00 5.441  0.00  0.00 0.24  14.4 0.22  221.7
2000  34  30   162.0  0.73   1.8   0.8   16.1 13.8  1.6 20.0  0.00 0.53 1.00  0.00  0.53 5.748  0.00  0.05 0.22  14.4 0.20  221.7
2000  35  31   162.9  0.73   1.8   0.9   16.4 16.2  1.0 20.9  0.00 0.00 1.00  0.00  0.00 5.487  0.00  0.00 0.26  14.5 0.24  221.7
2000  36  32   162.9  0.73   1.8   0.9   16.4 17.6 -3.2 12.6  0.00 0.48 1.00  0.00  0.48 5.733  0.00  0.04 0.24  14.5 0.21  221.7
2000  37  33   162.9  0.73   1.8   0.9   16.4 17.8 -5.8 17.1  0.00 0.00 1.00  0.00  0.00 5.487  0.00  0.00 0.25  14.5 0.22  221.7
2000  38  34   163.4  0.74   1.8   0.9   16.5 17.1 -2.3 19.1  0.00 0.48 1.00  0.00  0.48 5.712  0.00  0.04 0.26  14.5 0.23  221.7
2000  39  35   164.3  0.74   1.8   0.9   16.8 13.7  0.7 19.9  0.00 0.00 1.00  0.00  0.00 5.496  0.00  0.00 0.22  14.5 0.20  221.7
2000  40  36   165.1  0.74   1.8   0.9   17.1 16.8  0.2 19.7  0.00 0.47 1.00  0.00  0.47 5.705  0.00  0.04 0.26  14.5 0.24  221.7
2000  41  37   165.9  0.75   1.8   0.9   17.3 17.1 -0.6 22.3  0.00 0.00 1.00  0.00  0.00 5.431  0.00  0.00 0.27  14.6 0.25  221.7
2000  42  38   167.3  0.75   1.8   1.0   17.7 12.2  4.0 22.9  0.00 0.54 1.00  0.00  0.54 5.760  0.00  0.05 0.21  14.6 0.19  221.7
2000  43  39   169.9  0.77   1.9   1.0   18.4  9.1 10.7 23.3  0.00 0.00 1.00  0.00  0.00 5.593  0.00  0.00 0.17  14.7 0.15  221.7
2000  44  40   172.4  0.78   1.9   1.1   19.0 12.9  8.9 25.2  0.00 0.38 1.00  0.00  0.38 5.730  0.00  0.03 0.24  14.8 0.22  221.7
2000  45  41   176.0  0.79   1.9   1.1   20.0  3.4 16.1 20.6  1.45 0.00 1.00  1.45  0.00 5.904  1.21  1.23 0.06  14.9 0.06  221.7
