 RUN:  data/cwarner/testdate1          
 
YR	DOY	DAY	Rain	Irr	ET	Drain	Roff	NLoad
2000	182	178	33.6	126.1	56.4	17.2	103.9	21.2
2001	171	167	42.9	110.8	50.6	25.5	103.8	25.3
2002	164	160	31.0	114.4	49.4	22.6	96.9	15.1
2003	212	208	88.3	71.5	34.2	69.7	126.2	53.6
2004	176	172	43.3	109.7	51.6	24.7	102.2	22.0
2005	166	162	56.0	81.6	42.4	37.7	95.8	27.4
2006	167	163	64.7	105.4	49.5	48.7	121.4	19.4
2007	171	167	37.2	102.4	48.7	18.6	91.3	21.3
2008	165	161	35.6	101.5	47.4	26.3	90.5	22.8
2009	166	162	46.9	84.8	46.9	28.8	85.7	21.7
Min	164	160	31.0	71.5	34.2	17.2	85.7	15.1
Mean	174	170	47.95	100.82	47.71	31.98	101.77	24.98
Median	169	165	43.1	103.9	49.05	25.9	99.55	21.85
StdDev	14.4837	14.4837	17.5847	16.7052	5.93959	16.1860	13.1031	10.5726
Max	212	208	88.3	126.1	56.4	69.7	126.2	53.6
