 Run: data/cwarner/testdate1          
 
YR	DOY	DAY	Rain	Irrig	ET	Drain	Runoff	Nloss	NConc	HT	TW	P_Area	NupCum
2000	182	178	18.72	86.88	25.94	6.38	79.86	0.70	8.76	46.0	35.5	401.1	1.212
2001	171	167	20.91	75.73	23.04	8.24	73.97	0.74	9.99	46.3	36.4	389.0	1.128
2002	164	160	11.24	80.41	23.69	5.99	68.40	0.46	6.80	46.3	36.5	408.8	1.157
2003	212	208	27.65	48.41	15.13	17.29	61.23	1.40	22.93	46.0	39.3	317.6	0.675
2004	176	172	21.24	74.52	23.08	8.12	73.13	0.65	8.95	46.0	35.3	384.1	1.151
2005	166	162	22.54	52.29	17.34	10.66	57.83	0.72	12.37	46.4	36.8	357.2	1.004
2006	167	163	23.13	70.24	21.85	12.78	71.95	0.55	7.58	46.3	36.1	389.0	1.143
2007	171	167	21.61	67.76	21.08	7.15	68.45	0.60	8.75	46.0	36.0	381.0	1.125
2008	165	161	11.80	68.92	21.25	6.71	59.86	0.60	10.05	46.4	36.6	382.8	1.124
2009	166	162	22.00	50.78	17.88	8.99	55.29	0.73	13.18	45.8	35.7	357.2	0.991
Min	164	160	11.24	48.41	15.13	5.99	55.29	0.46	6.80	45.8	35.3	317.6	0.675
Mean	174	170	20.084	67.594	21.028	9.231	66.997	0.715	10.936	46.15	36.42	376.78	1.071
Median	169	165	21.425	69.58	21.55	8.18	68.425	0.675	9.47	46.15	36.25	383.45	1.1265
StdDev	14.4837	14.4837	5.04726	13.0983	3.30820	3.51469	8.06630	0.25674	4.64823	0.21213	1.12427	26.4408	0.15475
Max	212	208	27.65	86.88	25.94	17.29	79.86	1.40	22.93	46.4	39.3	408.8	1.212
