 Run: data/cwarner/testloc1           
 
 CRF_N  CRF_DAYS
 2.97   244
 
  YR DOY DAY Tmean    VP  TFac     Rate     NRel    CumNRel    CRF_N  NDemand   NFD  AvT AvNFD    NRel2   CRF_N2 AvT2  NFD2    SUB_N  RD2
2003  91   1 11.65 1.406 0.819 0.000000 0.000000  0.000000  2.966250 0.008424 297.9 12.0 297.9 0.000000 0.000000  0.0   0.0 0.592283  -99
2003  92   2 14.35 1.679 0.877 0.000104 0.000309  0.000309  2.965941 0.007610 278.3 13.4 288.1 0.000000 0.000000  0.0   0.0 0.591623  -99
2003  93   3 16.10 1.869 0.917 0.000171 0.000506  0.000815  2.965435 0.006871 266.2 14.4 280.8 0.000000 0.000000  0.0   0.0 0.591146  -99
2003  94   4 19.60 2.321 1.012 0.000277 0.000823  0.001637  2.964613 0.006239 241.1 15.8 270.9 0.000000 0.000000  0.0   0.0 0.590959  -99
2003  95   5 19.50 2.269 1.001 0.000339 0.001006  0.002643  2.963607 0.005583 243.7 16.5 265.5 0.000000 0.000000  0.0   0.0 0.587585  -99
2003  96   6 24.15 3.052 1.166 0.000552 0.001638  0.004282  2.961968 0.005162 209.2 17.8 256.1 0.000000 0.000000  0.0   0.0 0.588143  -99
2003  97   7 23.40 2.895 1.133 0.000608 0.001805  0.006086  2.960164 0.004758 215.3 18.6 250.3 0.000000 0.000000  0.0   0.0 0.588779  -99
2003  98   8 18.00 2.065 0.958 0.000497 0.001474  0.007560  2.958689 0.004088 254.7 18.6 250.8 0.000000 0.000000  0.0   0.0 0.561476  -99
2003  99   9 13.40 1.538 0.847 0.000437 0.001296  0.008856  2.957394 0.003324 288.1 18.0 255.0 0.000000 0.000000  0.0   0.0 0.540373  -99
2003 100  10  8.85 1.137 0.762 0.000393 0.001167  0.010023  2.956227 0.002222 320.1 17.1 261.5 0.000000 0.000000  0.0   0.0 0.540228  -99
2003 101  11 13.20 1.548 0.849 0.000537 0.001592  0.011615  2.954635 0.001747 287.4 16.7 263.8 0.000000 0.000000  0.0   0.0 0.540500  -99
2003 102  12 15.15 1.766 0.895 0.000650 0.001929  0.013545  2.952705 0.001415 272.7 16.6 264.6 0.000000 0.000000  0.0   0.0 0.541014  -99
2003 103  13 18.10 2.125 0.971 0.000829 0.002460  0.016004  2.950246 0.001125 251.4 16.8 263.6 0.000000 0.000000  0.0   0.0 0.542348  -99
2003 104  14 19.70 2.346 1.017 0.000981 0.002909  0.018913  2.947337 0.001207 239.9 17.0 261.9 0.000000 0.000000  0.0   0.0 0.544050  -99
2003 105  15 20.65 2.485 1.047 0.001112 0.003299  0.022212  2.944038 0.001354 233.1 17.3 259.9 0.000000 0.000000  0.0   0.0 0.545995  -99
2003 106  16 20.15 2.392 1.027 0.001142 0.003388  0.025600  2.940650 0.001397 237.6 17.5 258.6 0.000000 0.000000  0.0   0.0 0.547986  -99
2003 107  17 18.80 2.192 0.985 0.001116 0.003311  0.028911  2.937339 0.001325 247.8 17.6 257.9 0.000000 0.000000  0.0   0.0 0.549972  -99
2003 108  18 23.00 2.842 1.122 0.001534 0.004550  0.033461  2.932789 0.001683 217.5 17.9 255.7 0.000000 0.000000  0.0   0.0 0.552839  -99
2003 109  19 22.20 2.705 1.093 0.001536 0.004557  0.038018  2.928232 0.001675 223.2 18.1 254.0 0.000000 0.000000  0.0   0.0 0.555721  -99
2003 110  20 22.80 2.821 1.117 0.001691 0.005015  0.043033  2.923217 0.001862 218.4 18.4 252.2 0.000000 0.000000  0.0   0.0 0.558874  -99
2003 111  21 21.40 2.559 1.062 0.001604 0.004758  0.047790  2.918460 0.001588 229.7 18.5 251.1 0.000000 0.000000  0.0   0.0 0.547232  -99
2003 112  22 18.60 2.195 0.985 0.001446 0.004290  0.052080  2.914170 0.001859 247.6 18.5 251.0 0.000000 0.000000  0.0   0.0 0.549663  -99
2003 113  23 17.15 2.003 0.945 0.001390 0.004124  0.056204  2.910046 0.001807 258.2 18.5 251.3 0.000000 0.000000  0.0   0.0 0.551980  -99
2003 114  24 17.10 1.963 0.937 0.001425 0.004227  0.060431  2.905819 0.001694 260.5 18.4 251.7 0.000000 0.000000  0.0   0.0 0.554512  -99
2003 115  25 17.50 2.001 0.944 0.001509 0.004477  0.064908  2.901342 0.001439 258.4 18.4 251.9 0.000000 0.000000  0.0   0.0 0.538107  -99
2003 116  26 19.95 2.384 1.025 0.001850 0.005487  0.070395  2.895855 0.002328 238.0 18.5 251.4 0.000000 0.000000  0.0   0.0 0.541266  -99
2003 117  27 19.95 2.374 1.023 0.001913 0.005675  0.076070  2.890180 0.002353 238.5 18.5 250.9 0.000000 0.000000  0.0   0.0 0.544588  -99
2003 118  28 20.65 2.472 1.044 0.002065 0.006126  0.082196  2.884054 0.002542 233.7 18.6 250.3 0.000000 0.000000  0.0   0.0 0.548172  -99
2003 119  29 22.05 2.699 1.092 0.002340 0.006940  0.089136  2.877114 0.002702 223.5 18.7 249.4 0.000000 0.000000  0.0   0.0 0.552410  -99
2003 120  30 22.35 2.742 1.101 0.002460 0.007298  0.096435  2.869815 0.002919 221.7 18.9 248.4 0.000000 0.000000  0.0   0.0 0.556790  -99
2003 121  31 23.80 2.975 1.150 0.002775 0.008232  0.104666  2.861583 0.003126 212.2 19.0 247.3 0.000000 0.000000  0.0   0.0 0.561895  -99
2003 122  32 25.00 3.205 1.199 0.003112 0.009230  0.113896  2.852354 0.003458 203.6 19.2 245.9 0.000000 0.000000  0.0   0.0 0.567667  -99
2003 123  33 22.50 2.732 1.099 0.002696 0.007998  0.121894  2.844356 0.003065 222.1 19.3 245.2 0.000000 0.000000  0.0   0.0 0.542965  -99
2003 124  34 24.15 3.063 1.168 0.003142 0.009319  0.131214  2.835037 0.003700 208.8 19.5 244.1 0.000000 0.000000  0.0   0.0 0.548584  -99
2003 125  35 25.10 3.222 1.202 0.003423 0.010152  0.141366  2.824884 0.004044 203.0 19.6 242.9 0.000000 0.000000  0.0   0.0 0.554693  -99
2003 126  36 27.05 3.604 1.283 0.004009 0.011893  0.153258  2.812992 0.004212 190.2 19.9 241.5 0.000000 0.000000  0.0   0.0 0.562373  -99
2003 127  37 26.80 3.560 1.273 0.004061 0.012047  0.165305  2.800945 0.004482 191.6 20.0 240.1 0.000000 0.000000  0.0   0.0 0.569938  -99
2003 128  38 26.85 3.566 1.275 0.004179 0.012396  0.177701  2.788549 0.004726 191.4 20.2 238.9 0.000000 0.000000  0.0   0.0 0.577607  -99
2003 129  39 26.45 3.489 1.258 0.004179 0.012397  0.190099  2.776151 0.004983 193.9 20.4 237.7 0.000000 0.000000  0.0   0.0 0.585022  -99
2003 130  40 26.00 3.393 1.238 0.004151 0.012312  0.202411  2.763839 0.005240 197.1 20.5 236.7 0.000000 0.000000  0.0   0.0 0.592094  -99
2003 131  41 27.20 3.648 1.292 0.004631 0.013737  0.216148  2.750102 0.005489 188.9 20.7 235.5 0.000000 0.000000  0.0   0.0 0.600342  -99
2003 132  42 22.10 2.691 1.090 0.003378 0.010019  0.226167  2.740083 0.005267 223.9 20.7 235.2 0.000000 0.000000  0.0   0.0 0.605094  -99
