 RUN:  data/cwarner/testloc1           
 
YR	DOY	DAY	Rain	Irr	ET	Drain	Roff	NLoad
2003	206	116	53.2	80.4	40.7	34.3	93.5	25.0
2004	215	125	46.7	102.8	48.4	29.0	101.8	22.6
2005	215	125	61.8	97.7	47.2	37.9	112.9	22.6
2006	221	131	43.9	133.0	56.7	22.8	121.1	19.0
2007	221	131	28.4	115.0	53.9	14.6	90.3	15.3
2008	211	121	35.8	100.7	46.9	15.6	90.2	14.5
2009	216	126	68.5	116.7	50.4	43.7	135.6	18.6
Min	206	116	28.4	80.4	40.7	14.6	90.2	14.5
Mean	215	125	48.3285	106.614	49.1714	28.2714	106.485	19.6571
Median	215	125	46.7	102.8	48.4	29.0	101.8	19.0
StdDev	5.32290	5.32290	14.0740	16.7552	5.19541	11.1432	17.4171	3.93694
Max	221	131	68.5	133.0	56.7	43.7	135.6	25.0
