 RUN:  data/cwarner/testloc1           
 
  YR DOY DAY   TMIN  TMAX TMAXB TBIAS  SRAD  FCDR   DRF   RDT    DT TEMF    RW    TW      LA  LAI
2003  91   1    0.6  22.7  23.5  12.0  24.9   0.9   0.9   0.3   6.7 0.60   0.4   1.7   150.0  0.7
2003  92   2    3.7  25.0  25.8  14.8  25.5   0.9   0.9   0.4   7.1 0.89   0.4   1.7   150.0  0.7
2003  93   3    6.3  25.9  26.5  16.4  23.1   0.9   0.8   0.5   7.6 1.00   0.4   1.7   150.1  0.7
2003  94   4   11.5  27.7  28.3  19.9  21.4   0.8   0.7   0.7   8.3 1.00   0.5   1.7   150.2  0.7
2003  95   5   14.2  24.8  24.8  19.5   8.4   0.3   0.1   0.8   9.2 1.00   0.5   1.7   150.4  0.7
2003  96   6   18.7  29.6  30.0  24.4  19.3   0.7   0.7   1.0  10.2 1.00   0.5   1.7   150.9  0.7
2003  97   7   18.2  28.6  28.8  23.5  14.1   0.5   0.4   1.0  11.2 1.00   0.5   1.7   151.7  0.7
2003  98   8   16.0  20.0  20.0  18.0   3.6   0.1   0.0   0.9  12.1 1.00   0.5   1.7   152.8  0.7
2003  99   9    8.5  18.3  18.3  13.4   6.3   0.2   0.0   0.6  12.7 0.76   0.6   1.7   153.8  0.7
2003 100  10    6.4  11.3  11.3   8.9   6.8   0.2   0.0   0.2  12.9 0.16   0.6   1.7   154.3  0.7
2003 101  11    5.3  21.1  21.7  13.5  23.3   0.8   0.8   0.5  13.4 0.77   0.6   1.7   155.2  0.7
2003 102  12    4.8  25.5  26.3  15.5  25.8   0.9   0.9   0.5  13.9 0.95   0.7   1.7   156.2  0.7
2003 103  13    7.8  28.4  29.1  18.5  25.0   0.9   0.8   0.6  14.4 1.00   0.8   1.7   157.5  0.7
2003 104  14    9.5  29.9  30.6  20.0  24.6   0.9   0.8   0.6  15.1 1.00   0.9   1.8   159.1  0.7
2003 105  15   13.2  28.1  28.8  21.0  24.0   0.9   0.8   0.8  15.9 1.00   1.0   1.8   161.3  0.7
2003 106  16   12.4  27.9  28.3  20.4  20.2   0.7   0.6   0.8  16.7 1.00   1.1   1.8   163.7  0.7
2003 107  17   10.3  27.3  27.6  19.0  18.2   0.6   0.5   0.7  17.3 1.00   1.2   1.8   165.9  0.7
2003 108  18   17.2  28.8  29.2  23.2  19.2   0.7   0.6   1.0  18.3 1.00   1.3   1.9   169.4  0.8
2003 109  19   15.2  29.2  29.5  22.4  18.7   0.7   0.6   0.9  19.2 1.00   1.4   1.9   172.9  0.8
2003 110  20   16.5  29.1  29.6  23.1  22.3   0.8   0.7   0.9  20.1 1.00   1.5   1.9   177.0  0.8
2003 111  21   14.9  27.9  28.0  21.5  13.2   0.5   0.3   0.9  21.0 1.00   1.5   2.0   181.2  0.8
2003 112  22   11.9  25.3  26.1  19.0  26.7   0.9   0.9   0.7  21.7 1.00   1.6   2.0   185.1  0.8
2003 113  23    9.1  25.2  25.9  17.5  26.8   0.9   0.9   0.6  22.4 1.00   1.7   2.1   188.5  0.9
2003 114  24    9.8  24.4  24.6  17.2  16.2   0.6   0.4   0.7  23.0 1.00   1.8   2.1   192.4  0.9
2003 115  25   14.6  20.4  20.4  17.5   4.7   0.2   0.0   0.9  23.9 1.00   1.8   2.2   197.7  0.9
2003 116  26   14.1  25.8  26.5  20.3  26.6   0.9   0.9   0.8  24.7 1.00   1.9   2.2   203.2  0.9
2003 117  27   12.6  27.3  27.9  20.2  24.7   0.8   0.8   0.8  25.5 1.00   2.0   2.3   208.7  0.9
2003 118  28   13.8  27.5  28.0  20.9  23.3   0.8   0.7   0.8  26.3 1.00   2.1   2.4   214.8  1.0
2003 119  29   14.3  29.8  30.4  22.3  24.9   0.9   0.8   0.8  27.2 1.00   2.2   2.5   221.6  1.0
2003 120  30   15.4  29.3  29.8  22.6  23.5   0.8   0.7   0.9  28.1 1.00   2.3   2.5   229.1  1.0
2003 121  31   16.8  30.8  31.1  23.9  19.4   0.7   0.6   0.9  29.0 1.00   2.4   2.6   237.6  1.1
2003 122  32   18.2  31.8  32.2  25.2  21.8   0.8   0.7   1.0  30.0 1.00   2.5   2.8   247.2  1.1
2003 123  33   17.8  27.2  27.3  22.5  12.0   0.4   0.2   1.0  31.0 1.00   2.6   2.9   257.2  1.2
