 Run: data/cwarner/testloc2           
 
  YR DOY DAY     SubN  DrCm3  DrNconc   DrainN NRelease  NUptake     CumDr  CumDrN  ROcm3 RO_Nconc     Ro_N   CumRoN   THRU_N      IrN   CumIrN
2003  91   1 0.592283    0.0 0.000000 0.000000 0.000000 0.000967      0.0 0.000000    0.0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2003  92   2 0.591636    0.0 0.000000 0.000000 0.000322 0.000969      0.0 0.000000    8.8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2003  93   3 0.591208    0.0 0.000000 0.000000 0.000555 0.000983      0.0 0.000000    9.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2003  94   4 0.591142    0.0 0.000000 0.000000 0.000945 0.001010      0.0 0.000000    8.8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2003  95   5 0.591336    0.0 0.000000 0.000000 0.001246 0.001052      0.0 0.000000   10.2 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2003  96   6 0.591850    0.0 0.000000 0.000000 0.001628 0.001114      0.0 0.000000   10.8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2003  97   7 0.593022    0.0 0.000000 0.000000 0.002371 0.001199      0.0 0.000000    8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2003  98   8 0.591859   10.1 0.000240 0.002412 0.002554 0.001305     10.1 0.002412   20.9 0.000115 0.002412 0.002412 0.000000 0.000000 0.000000
2003  99   9 0.573966  102.5 0.000183 0.018751 0.002293 0.001436    112.6 0.021163  121.2 0.000155 0.018751 0.021163 0.000000 0.000000 0.000000
2003 100  10 0.573023    4.0 0.000236 0.000950 0.001589 0.001582    116.6 0.022113   11.9 0.000080 0.000950 0.022113 0.000000 0.000000 0.000000
2003 101  11 0.572996    0.0 0.000000 0.000000 0.001729 0.001755    116.6 0.022113    6.7 0.000000 0.000000 0.022113 0.000000 0.000000 0.000000
2003 102  12 0.573511    0.0 0.000000 0.000000 0.002455 0.001940    116.6 0.022113    8.5 0.000000 0.000000 0.022113 0.000000 0.000000 0.000000
2003 103  13 0.574290    0.0 0.000000 0.000000 0.002916 0.002137    116.6 0.022113   10.8 0.000000 0.000000 0.022113 0.000000 0.000000 0.000000
2003 104  14 0.574527    4.0 0.000236 0.000951 0.003159 0.001971    120.6 0.023064   15.7 0.000061 0.000951 0.023064 0.000000 0.000000 0.000000
2003 105  15 0.576377    0.0 0.000000 0.000000 0.003417 0.001567    120.6 0.023064   10.8 0.000000 0.000000 0.023064 0.000000 0.000000 0.000000
2003 106  16 0.574306   18.1 0.000228 0.004122 0.003689 0.001638    138.7 0.027187   29.6 0.000139 0.004122 0.027187 0.000000 0.000000 0.000000
