 Run: data/cwarner/testloc2           
 
  YR DOY Day     d_TW     d_RW    TW    RW    N_TOP   N_ROOT Tact Ract Topt Ropt  NDemand  NUptake  NSupply  NSUF  WSUF NupCum
2003  91   1 0.000223 0.000836   1.7   0.4 0.014678 0.001964 0.89 0.48 1.29 0.69 0.008428 0.000967 0.000967 0.017 1.000  0.001
2003  92   2 0.000225 0.006362   1.7   0.4 0.015496 0.002114 0.94 0.50 1.29 0.69 0.007642 0.000969 0.000969 0.074 1.000  0.002
2003  93   3 0.000588 0.011848   1.7   0.4 0.016296 0.002298 0.99 0.53 1.30 0.70 0.006933 0.000983 0.000983 0.132 1.000  0.003
2003  94   4 0.001559 0.018349   1.7   0.4 0.017078 0.002526 1.03 0.56 1.31 0.71 0.006335 0.001010 0.001010 0.211 1.000  0.004
2003  95   5 0.002859 0.027022   1.7   0.5 0.017843 0.002814 1.08 0.59 1.33 0.73 0.005799 0.001052 0.001052 0.311 1.000  0.005
2003  96   6 0.005063 0.037050   1.7   0.5 0.018597 0.003174 1.12 0.62 1.34 0.74 0.005346 0.001114 0.001114 0.430 1.000  0.006
2003  97   7 0.008585 0.046751   1.7   0.6 0.019356 0.003614 1.16 0.64 1.35 0.75 0.004984 0.001199 0.001199 0.561 1.000  0.007
2003  98   8 0.012792 0.058122   1.7   0.6 0.020127 0.004148 1.20 0.67 1.36 0.76 0.004697 0.001305 0.001305 0.703 1.000  0.009
2003  99   9 0.018121 0.066933   1.7   0.7 0.020943 0.004767 1.23 0.70 1.38 0.78 0.004464 0.001436 0.001436 0.849 1.000  0.010
2003 100  10 0.018348 0.077822   1.7   0.8 0.021797 0.005496 1.27 0.72 1.39 0.79 0.004131 0.001582 0.001582 1.000 1.000  0.012
2003 101  11 0.017457 0.083806   1.7   0.8 0.022724 0.006324 1.31 0.75 1.40 0.80 0.003671 0.001755 0.001755 1.000 1.000  0.013
2003 102  12 0.022651 0.090543   1.8   0.9 0.023732 0.007255 1.35 0.77 1.41 0.81 0.003223 0.001940 0.001940 1.000 1.000  0.015
2003 103  13 0.026554 0.090297   1.8   1.0 0.024869 0.008256 1.39 0.80 1.42 0.82 0.002684 0.002137 0.002137 1.000 1.000  0.017
2003 104  14 0.026961 0.092368   1.8   1.1 0.025839 0.009256 1.43 0.83 1.43 0.83 0.001971 0.001971 0.002333 1.000 1.000  0.019
2003 105  15 0.033356 0.091015   1.8   1.2 0.026520 0.010143 1.44 0.84 1.44 0.84 0.001567 0.001567 0.002531 1.000 1.000  0.021
2003 106  16 0.036084 0.092142   1.9   1.3 0.027244 0.011057 1.45 0.85 1.45 0.85 0.001638 0.001638 0.002725 1.000 1.000  0.023
2003 107  17 0.041065 0.092209   1.9   1.4 0.028058 0.011997 1.46 0.86 1.46 0.86 0.001754 0.001754 0.002919 1.000 1.000  0.024
2003 108  18 0.049593 0.090808   2.0   1.5 0.029028 0.012964 1.47 0.87 1.47 0.87 0.001937 0.001937 0.003102 1.000 1.000  0.026
2003 109  19 0.052415 0.074084   2.0   1.6 0.030044 0.013799 1.48 0.88 1.48 0.88 0.001851 0.001851 0.003291 1.000 1.000  0.028
2003 110  20 0.056023 0.094350   2.1   1.7 0.031123 0.014829 1.50 0.90 1.50 0.90 0.002109 0.002109 0.003443 1.000 1.000  0.030
2003 111  21 0.061318 0.095284   2.1   1.8 0.032297 0.015893 1.51 0.91 1.51 0.91 0.002237 0.002237 0.003636 1.000 1.000  0.033
2003 112  22 0.072927 0.093213   2.2   1.8 0.033687 0.016981 1.52 0.92 1.52 0.92 0.002479 0.002479 0.003829 1.000 1.000  0.035
2003 113  23 0.064553 0.101366   2.3   1.9 0.034914 0.018124 1.53 0.93 1.53 0.93 0.002371 0.002371 0.004017 1.000 1.000  0.037
2003 114  24 0.062447 0.105737   2.3   2.1 0.036100 0.019310 1.54 0.94 1.54 0.94 0.002372 0.002372 0.004218 1.000 1.000  0.040
2003 115  25 0.089534 0.069202   2.4   2.1 0.037799 0.020240 1.55 0.95 1.55 0.95 0.002629 0.002629 0.004426 1.000 1.000  0.042
2003 116  26 0.096062 0.098891   2.5   2.2 0.039623 0.021474 1.57 0.97 1.57 0.97 0.003058 0.003058 0.004546 1.000 1.000  0.045
2003 117  27 0.091656 0.105329   2.6   2.3 0.041365 0.022764 1.58 0.98 1.58 0.98 0.003032 0.003032 0.004719 1.000 1.000  0.048
2003 118  28 0.104592 0.104140   2.7   2.4 0.043357 0.024087 1.59 0.99 1.59 0.99 0.003314 0.003314 0.004920 1.000 1.000  0.052
2003 119  29 0.117597 0.099490   2.8   2.5 0.045602 0.025405 1.61 1.01 1.61 1.01 0.003564 0.003564 0.005118 1.000 1.000  0.055
2003 120  30 0.125554 0.033624   3.0   2.6 0.048006 0.026080 1.62 1.02 1.62 1.02 0.003079 0.003079 0.005305 1.000 1.000  0.058
2003 121  31 0.133789 0.049595   3.1   2.6 0.050578 0.026927 1.63 1.03 1.63 1.03 0.003420 0.003420 0.005354 1.000 1.000  0.062
2003 122  32 0.142282 0.106913   3.2   2.7 0.053325 0.028386 1.64 1.04 1.64 1.04 0.004206 0.004206 0.005444 1.000 1.000  0.066
2003 123  33 0.151040 0.110136   3.4   2.8 0.056254 0.029908 1.66 1.06 1.66 1.06 0.004451 0.004451 0.005643 1.000 1.000  0.070
2003 124  34 0.160061 0.111315   3.6   2.9 0.059373 0.031471 1.67 1.07 1.67 1.07 0.004682 0.004682 0.005845 1.000 1.000  0.075
2003 125  35 0.169335 0.112218   3.7   3.1 0.062691 0.033073 1.68 1.08 1.68 1.08 0.004920 0.004920 0.006048 1.000 1.000  0.080
2003 126  36 0.164062 0.101652   3.9   3.2 0.065922 0.034555 1.70 1.10 1.70 1.10 0.004713 0.004713 0.006252 1.000 1.000  0.085
2003 127  37 0.184999 0.100642   4.1   3.3 0.069586 0.036078 1.71 1.11 1.71 1.11 0.005187 0.005187 0.006437 1.000 1.000  0.090
2003 128  38 0.197723 0.115932   4.3   3.4 0.073525 0.037806 1.72 1.12 1.72 1.12 0.005667 0.005667 0.006618 1.000 1.000  0.096
2003 129  39 0.184125 0.119413   4.5   3.5 0.077214 0.039552 1.73 1.13 1.73 1.13 0.005435 0.005435 0.006823 1.000 1.000  0.101
2003 130  40 0.181830 0.115745   4.6   3.6 0.080877 0.041261 1.74 1.14 1.74 1.14 0.005372 0.005372 0.007032 1.000 1.000  0.106
2003 131  41 0.206760 0.111504   4.8   3.7 0.085066 0.042984 1.76 1.16 1.76 1.16 0.005912 0.005912 0.007234 1.000 1.000  0.112
2003 132  42 0.236196 0.101884   5.1   3.8 0.089881 0.044664 1.77 1.17 1.77 1.17 0.006495 0.006495 0.007426 1.000 1.000  0.119
2003 133  43 0.247287 0.123097   5.3   3.9 0.094957 0.046621 1.78 1.18 1.78 1.18 0.007032 0.007032 0.007601 1.000 1.000  0.126
2003 134  44 0.254423 0.126079   5.6   4.1 0.100213 0.048637 1.80 1.20 1.80 1.20 0.007273 0.007273 0.007805 1.000 1.000  0.133
2003 135  45 0.269891 0.121932   5.9   4.2 0.105828 0.050645 1.81 1.21 1.81 1.21 0.007622 0.007622 0.008013 1.000 1.000  0.141
2003 136  46 0.269665 0.128291   6.1   4.3 0.111475 0.052739 1.82 1.22 1.82 1.22 0.007742 0.007742 0.008211 1.000 1.000  0.149
