 Run: data/cwarner/testloc2           
 
YR	DOY	DAY	Rain	Irrig	ET	Drain	Runoff	Nloss	NConc	HT	TW	P_Area	NupCum
2003	203	113	38.44	60.11	19.16	13.12	79.67	0.65	8.13	46.1	35.8	445.4	1.013
2004	221	131	26.95	95.50	27.64	10.07	95.04	0.64	6.78	45.9	36.2	480.6	1.139
2005	210	120	31.28	68.46	21.28	12.78	78.86	0.70	8.92	46.3	35.8	443.4	1.031
2006	205	115	34.63	67.43	21.37	12.03	80.98	0.65	8.06	46.0	36.2	441.5	1.051
2007	212	122	24.46	81.98	24.25	9.00	82.50	0.57	6.96	46.0	35.5	467.0	1.092
2008	207	117	22.61	62.93	19.58	7.74	66.38	0.68	10.22	45.9	34.8	426.4	0.972
2009	212	122	37.32	84.26	24.63	14.98	97.27	0.74	7.62	46.3	36.5	472.5	1.074
Min	203	113	22.61	60.11	19.16	7.74	66.38	0.57	6.78	45.9	34.8	426.4	0.972
Mean	210	120	30.8128	74.3814	22.5585	11.3885	82.9571	0.66142	8.09857	46.0714	35.8285	453.828	1.05314
Median	210	120	31.28	68.46	21.37	12.03	80.98	0.65	8.06	46.0	35.8	445.4	1.051
StdDev	5.94418	5.94418	6.29645	13.0352	3.06709	2.54949	10.4671	0.05336	1.18614	0.17043	0.56188	19.6762	0.05478
Max	221	131	38.44	95.50	27.64	14.98	97.27	0.74	10.22	46.3	36.5	480.6	1.139
