 Run: data/cwarner/testloc3           
 
  YR DOY DAY      LA   LAI    TW    RW     DT SRad TMIN TMAX    Ra   Ir   CF  P_Ra  P_Ir    Sw  P_Dr    Ro P_Et    HT   Et   P_Ar
2003  91   1   150.0  0.68   1.7   0.4    7.1 17.8 10.3 21.8  0.00 0.00 1.00  0.00  0.00 5.646  0.00  0.00 0.32  14.0 0.29  221.7
2003  92   2   150.1  0.68   1.7   0.4    8.0 23.8 16.1 25.1  0.00 0.32 1.00  0.00  0.32 5.496  0.00  0.03 0.47  14.0 0.43  221.7
2003  93   3   150.2  0.68   1.7   0.4    9.0 12.4 16.6 25.6  0.00 0.47 1.00  0.00  0.47 5.722  0.00  0.04 0.25  14.0 0.22  221.7
2003  94   4   150.4  0.68   1.7   0.4   10.0 22.6 17.7 28.8  0.00 0.00 1.00  0.00  0.00 5.254  0.00  0.00 0.47  14.0 0.42  221.7
2003  95   5   150.7  0.68   1.7   0.5   11.0 22.4 18.0 30.0  0.00 0.71 1.00  0.00  0.71 5.500  0.00  0.07 0.47  14.0 0.43  221.7
2003  96   6   151.3  0.68   1.7   0.5   12.0 19.7 23.1 29.2  0.00 0.47 1.00  0.00  0.47 5.544  0.00  0.04 0.42  14.0 0.39  221.7
2003  97   7   152.2  0.69   1.7   0.5   13.0 19.1 24.2 29.3  0.00 0.42 1.00  0.00  0.42 5.553  0.00  0.04 0.41  14.1 0.38  221.7
2003  98   8   153.5  0.69   1.7   0.6   14.0 16.8 22.9 29.4  0.00 0.41 1.00  0.00  0.41 5.607  0.00  0.04 0.36  14.1 0.33  221.7
2003  99   9   155.3  0.70   1.7   0.6   15.0 13.6 22.5 30.1  0.59 0.36 1.00  0.59  0.36 5.675  0.59  0.62 0.29  14.2 0.27  221.7
2003 100  10   157.4  0.71   1.7   0.7   15.8 24.0 13.7 24.8  0.02 0.00 1.00  0.02  0.00 5.231  0.00  0.00 0.46  14.3 0.42  221.7
2003 101  11   159.7  0.72   1.8   0.8   16.6 17.2 13.1 25.7  0.00 0.74 1.00  0.00  0.74 5.636  0.00  0.07 0.33  14.3 0.30  221.7
2003 102  12   162.4  0.73   1.8   0.9   17.4 24.6 13.1 28.4  0.00 0.33 1.00  0.00  0.33 5.479  0.00  0.03 0.49  14.4 0.44  221.7
2003 103  13   165.4  0.75   1.8   1.0   18.2 27.3 14.1 29.1  0.00 0.49 1.00  0.00  0.49 5.417  0.00  0.05 0.55  14.5 0.50  221.7
2003 104  14   168.6  0.76   1.9   1.1   19.0 23.3 13.5 27.9  0.14 0.55 1.00  0.14  0.55 5.506  0.14  0.19 0.46  14.7 0.42  221.7
2003 105  15   172.9  0.78   1.9   1.2   20.0 25.2 19.7 27.1  0.00 0.46 1.00  0.00  0.46 5.445  0.00  0.04 0.52  14.8 0.47  221.7
2003 106  16   177.6  0.80   2.0   1.2   21.0 20.8 17.6 28.5  0.00 0.52 1.00  0.00  0.52 5.540  0.00  0.05 0.43  15.0 0.39  221.7
