StationID,date,avg_temp_soil_10cm_C,min_temp_soil_10cm_C,max_temp_soil_10cm_C,avg_temp_air_60cm_C,min_temp_air_60cm_C,max_temp_air_60cm_C,avg_temp_air_2m_C,min_temp_air_2m_C,max_temp_air_2m_C,avg_temp_air_10m_C,min_temp_air_10m_C,max_temp_air_10m_C,avg_rh_2m_pct,avg_temp_dp_2m_C,min_temp_dp_2m_C,max_temp_dp_2m_C,sum_rain_2m_inches,avg_wind_speed_10m_mph,wind_speed_max_10m_mph,avg_wind_direction_10m_deg,avg_rfd_2m_wm2,trf_2m_MJm2,ETo_grass_mm,num_observations
110,2008-01-01,12.468,11.46,13.23,7.629,2.684,11.14,7.168,2.521,10.55,7.885,3.229,11.4,52.635,-2.481,-8.158,7.287,0,11.489,28.499,323,125.253,10.822,0.961,96
110,2008-01-02,10.258,9.24,11.42,0.196,-3.771,3.438,-0.36,-3.937,2.371,-0.019,-3.465,3.047,45.546,-10.824,-12.386,-6.864,0,10.954,26.399,334,112.83,9.748,0.697,96
110,2008-01-03,8.833,7.97,9.63,-0.848,-6.715,6.739,-1.385,-6.979,5.408,-0.444,-6.537,5.695,55.632,-9.649,-11.657,-4.63,0,5.59,18.18,19,131.854,11.392,,96
110,2008-01-04,8.997,8.06,10.15,3.55,-2.811,12.98,3.225,-2.962,11.64,4.337,-1.902,11.9,58.414,-4.867,-7.78,-1.551,0,6.129,13.52,85,145.985,12.613,,96
110,2008-01-05,10.018,8.74,11.46,10.219,1.429,18.92,9.745,1.385,17.9,10.548,2.855,17.71,78.037,6.046,-2.569,12.382,0,8.129,19.259,108,117.713,10.17,1.294,96
110,2008-01-06,11.876,10.66,13.18,15.236,8.38,22.86,14.703,8.33,21.76,15.499,9.32,21.55,86.584,12.282,7.591,15.155,0,6.402,26.459,132,131.653,11.375,1.395,95
110,2008-01-07,13.797,12.96,14.88,16.749,11.53,24.03,16.242,11.93,22.99,17.015,13.93,22.64,86.461,13.737,11.042,15.475,0,7.673,21.579,128,101.394,8.76,1.514,96
110,2008-01-08,14.691,13.69,15.63,18.809,14.63,24.09,18.123,14.12,23.05,18.604,14.93,22.67,89.636,16.308,13.378,18.609,0,8.731,20.339,143,66.687,5.762,1.47,96
110,2008-01-09,16.357,15.64,17.23,20.217,16.22,25.9,19.51,15.56,24.61,19.987,16,24.57,86.582,17.09,13.822,18.597,0,6.335,25.539,189,93.125,8.046,1.552,96
110,2008-01-10,17.016,16.55,17.51,20.343,18.06,23.03,19.715,17.52,22,20.165,18.13,21.91,88.752,17.75,16.791,18.667,0,11.782,31.179,169,61.215,5.289,1.331,96
110,2008-01-11,16.442,15.04,17.3,12.693,6.991,20.45,12.116,7.06,19.96,12.893,8.16,20.56,78.211,8.343,4.12,18.002,0.471,6.185,23.359,339,41.07,3.548,1.469,95
110,2008-01-12,14.433,13.65,15.19,9.986,4.991,18.83,9.445,4.772,17.31,10.77,5.455,17.7,71.926,4.2,2.066,7.365,0,4.576,14.12,13,141.846,12.255,1.167,96
110,2008-01-13,13.486,12.77,14.21,10.17,3.125,17.78,9.7,2.891,16.56,10.825,4.611,16.85,63.722,2.457,-0.538,4.54,0,6.042,18.779,327,136.692,11.81,1.178,96
110,2008-01-14,12.386,11.72,13.1,6.146,0.989,14.04,5.727,0.722,12.74,6.783,1.234,13.09,58.225,-2.465,-4.461,-0.457,0.009,6.31,18.459,331,139.952,12.092,1.025,96
110,2008-01-15,12.018,11.27,12.87,8.799,1.078,16.36,8.25,1.181,14.99,9.382,4.251,15.19,60.703,0.435,-1.791,2.79,0,5.132,25.339,308,116.19,10.039,1.15,96
110,2008-01-16,11.277,10.61,12.2,6.653,5.333,8.21,6.075,4.737,7.69,6.601,5.222,8.33,84.289,3.489,-0.411,6.61,1.327,11.557,25.439,61,9.887,0.854,0.938,96
110,2008-01-17,11.13,10.71,11.69,8.057,5.425,11.07,7.292,4.765,10.01,7.727,5.171,10.52,87.91,5.392,3.623,6.665,0,8.583,18.08,346,59.967,5.181,1.029,96
110,2008-01-18,11.803,11.03,12.66,9.802,5.242,14.5,9,4.759,12.98,9.564,6.022,13.19,78.6,5.349,3.601,7.412,0.099,5.417,17.44,39,102.3,8.839,1.127,96
110,2008-01-19,10.355,8.77,12.18,3.918,-0.455,8.27,3.332,-0.728,7.64,3.754,-0.236,8.01,88.281,1.573,-2.836,6.233,1.921,10.912,24.799,1,19.143,1.654,1.085,96
110,2008-01-20,8.061,7.4,8.73,0.545,-3.454,6.131,0.011,-3.854,5.154,0.379,-3.452,5.336,55,-8.404,-10.294,-3.081,0,9.984,23.019,4,146.818,12.685,0.891,96
110,2008-01-21,7.762,6.596,8.91,3.154,-4.496,9.63,2.615,-4.722,8.5,3.28,-3.791,8.92,59.361,-4.625,-10.787,1.562,0,6.718,16.56,51,110.599,9.556,1.046,96
110,2008-01-22,9.576,8.44,10.93,11.572,5.304,17.3,11.019,4.985,16.34,11.69,5.871,16.71,84.201,8.431,1.849,12.956,0,6.694,64.178,91,46.104,3.983,1.387,96
110,2008-01-23,11.245,10.94,11.65,11.062,9.34,13.49,10.383,9.14,12.93,10.907,9.62,13.47,89.628,8.741,7.73,10.989,0,4.156,45.379,11,29.189,2.522,1.053,96
110,2008-01-24,11.118,10.16,11.4,6.888,1.31,10.55,6.275,1.03,9.96,6.725,1.611,10.47,85.275,3.966,-4.119,8.541,0.181,7.36,19.299,353,30.148,2.605,1.154,96
110,2008-01-25,9.683,8.78,10.37,4.344,-0.781,10.44,3.612,-1.209,9.12,3.989,-0.834,9.5,61.371,-3.439,-6.762,2.8,0.027,6.885,18.519,49,93.879,8.111,1.127,96
110,2008-01-26,9.974,9.54,10.28,6.967,4.185,9.56,6.259,3.499,8.74,6.685,3.908,9.11,92.308,5.099,1.702,7.667,0.498,6.531,14.32,50,25.446,2.199,1.032,96
110,2008-01-27,10.662,10.16,11.65,8.298,2.736,14.93,7.859,3.781,13.76,8.719,5.644,14.03,80.966,4.571,1.055,6.759,0,6.142,14.62,347,123.619,10.681,1.339,96
110,2008-01-28,10.139,8.93,11.36,6.854,-1.053,16.21,6.438,-1.325,14.79,7.992,0.646,14.94,74.368,1.436,-2.411,5.13,0,3.881,13.2,121,150.179,12.975,1.354,96
110,2008-01-29,11.099,9.74,13.07,14.614,4.267,21.46,14.125,4.509,20.38,15.062,6.822,20.52,83.718,11.243,3.338,16.586,0.739,10.737,42.799,163,75.228,6.5,1.809,96
110,2008-01-30,11.456,10.35,13.11,6.981,2.307,16.27,6.538,2.042,15.92,7.253,2.59,16.64,44.533,-5.082,-11.064,13.72,0,11.052,31.579,16,164.6,14.221,1.582,96
110,2008-01-31,10.81,9.87,13.23,11.276,3.57,19.23,10.694,3.28,18.77,11.274,4.121,19.44,76.155,6.547,-3.716,17.195,2.035,10.129,32.379,99,45.968,3.972,1.72,96
110,2008-02-01,12.64,11.58,13.42,8.442,1.765,15.81,7.727,1.411,15.38,8.482,3.306,16,78.437,4.04,0.39,14.202,0,6.854,27.159,324,148.453,12.826,1.526,96
110,2008-02-02,11.438,10.12,12.7,8.43,-0.409,17.67,7.827,-0.691,16.25,8.706,1.2,16.11,82.472,4.819,-1.651,9.824,0,5.514,35.539,130,155.828,13.464,1.568,96
110,2008-02-03,12.432,11.25,13.64,14.354,7.61,20.61,13.723,7.59,19.36,14.337,8.97,19.16,86.727,11.451,6.794,14.559,0,7.621,21.359,131,127.935,11.054,1.771,96
