"FAWN Station","Period","60cm T avg (F)","60cm T min (F)","60cm T max (F)","2m Rain tot (in)","2m Rain max over 15min(in)","SolRad avg 2m (w/m^2)","N (# obs)"
"Alachua","1 Jan 2009","50.28","40.58","61.09","0","0","100.9","96"
"Alachua","2 Jan 2009","58.6","41.94","74.97","0","0","117.7","96"
"Alachua","3 Jan 2009","59.95","48.81","73.54","0","0","61.21","96"
"Alachua","4 Jan 2009","63.89","53.73","79.3","0","0","136.98","96"
"Alachua","5 Jan 2009","62.87","49.23","80.44","0","0","138.89","96"
"Alachua","6 Jan 2009","67.26","60.94","78.64","0","0","100.15","96"
"Alachua","7 Jan 2009","62.75","43.26","71.49","0.08","0.07","93.84","96"
"Alachua","8 Jan 2009","53.54","34.14","70.75","0","0","151.77","96"
"Alachua","9 Jan 2009","50.36","35.51","69.13","0","0","163.02","96"
"Alachua","10 Jan 2009","53.71","32.72","77.25","0","0","158.83","96"
"Alachua","11 Jan 2009","64.45","55.8","71.89","0.04","0.02","46.6","96"
"Alachua","12 Jan 2009","49.02","43.12","55.13","0.05","0.02","52.14","96"
"Alachua","13 Jan 2009","47.47","36.7","50.58","1.03","0.05","18.25","96"
"Alachua","14 Jan 2009","41.91","31.38","58.41","0.01","0.01","165.55","96"
"Alachua","15 Jan 2009","42.43","27.36","62.22","0.01","0.01","131.14","93"
"Alachua","16 Jan 2009","38.72","27.67","50.79","0","0","154.23","96"
"Alachua","17 Jan 2009","37.98","25.17","57.51","0","0","168.25","96"
"Alachua","18 Jan 2009","48.51","27.14","67.68","0.01","0.01","165.38","96"
"Alachua","19 Jan 2009","57.49","45.28","67.98","0.02","0.01","125.99","96"
"Alachua","20 Jan 2009","40.18","28.1","55.09","0","0","175.41","96"
"Alachua","21 Jan 2009","31.5","20.29","46.85","0","0","178.15","96"
"Alachua","22 Jan 2009","37.14","18.52","59.2","0","0","178.66","96"
"Alachua","23 Jan 2009","47.57","27.25","70.27","0","0","172.78","96"
"Alachua","24 Jan 2009","52.52","33.96","71.53","0","0","121.24","96"
"Alachua","25 Jan 2009","62.55","51.51","74.28","0","0","106.82","96"
"Alachua","26 Jan 2009","61.27","50.07","79.39","0","0","147.56","96"
"Alachua","27 Jan 2009","62.9","48.9","79.68","0","0","137.35","96"
"Alachua","28 Jan 2009","67.85","59.59","78.6","0.01","0.01","106.49","96"
"Alachua","29 Jan 2009","61.12","54.66","68.09","1.85","0.22","39.98","96"
"Alachua","30 Jan 2009","50.27","40.02","61.09","0.02","0.01","142.21","96"
"Alachua","31 Jan 2009","42.15","26.71","60.8","0","0","190.89","96"
"Apopka","1 Jan 2009","57.21","47.28","68.95","0","0","122.08","96"
"Apopka","2 Jan 2009","63.14","52.92","76.15","0","0","121.92","96"
"Apopka","3 Jan 2009","64.39","50.4","76.06","0","0","135.94","96"
"Apopka","4 Jan 2009","67.32","58.3","80.13","0","0","156.85","96"
"Apopka","5 Jan 2009","65.82","52.41","82.04","0","0","167.77","96"
"Apopka","6 Jan 2009","69.71","57.42","82.69","0","0","163.78","96"
"Apopka","7 Jan 2009","65.83","51.93","74.35","0.01","0.01","54.72","96"
"Apopka","8 Jan 2009","58.3","39.44","71.44","0","0","181.25","96"
"Apopka","9 Jan 2009","57.49","45.63","73.04","0","0","182.38","96"
"Apopka","10 Jan 2009","61.04","44.18","78.13","0","0","176.19","96"
"Apopka","11 Jan 2009","67.21","55.02","78.48","0","0","157.85","96"
"Apopka","12 Jan 2009","60.82","56.07","67.33","0","0","58.33","96"
"Apopka","13 Jan 2009","58.06","46.99","69.17","0.04","0.01","64.27","96"
"Apopka","14 Jan 2009","51.56","38.24","67.32","0","0","184.31","96"
"Apopka","15 Jan 2009","46.36","34.09","61.27","0","0","108.53","96"
"Apopka","16 Jan 2009","47.02","39.14","58.86","0.01","0.01","178.5","96"
"Apopka","17 Jan 2009","47.12","33.21","64.02","0","0","184.47","96"
"Apopka","18 Jan 2009","52.99","33.09","70.93","0","0","188.69","96"
"Apopka","19 Jan 2009","61.9","54.82","69.12","0.07","0.07","162.74","96"
"Apopka","20 Jan 2009","48.04","33.47","60.62","0.14","0.14","194.32","96"
"Apopka","21 Jan 2009","36.57","27.47","49.48","0","0","203.59","96"
"Apopka","22 Jan 2009","39.47","23.68","59.02","0","0","202.57","96"
"Apopka","23 Jan 2009","46.67","26.45","68.79","0","0","206.3","96"
"Apopka","24 Jan 2009","53.82","33.86","72.36","0","0","165.43","96"
"Apopka","25 Jan 2009","60.06","45.25","80.78","0","0","188.5","96"
"Apopka","26 Jan 2009","63.38","48.52","81.3","0","0","185.53","96"
"Apopka","27 Jan 2009","67","54.57","81.73","0","0","151.04","96"
"Apopka","28 Jan 2009","69.91","60.37","81.21","0","0","147.49","96"
"Apopka","29 Jan 2009","67.06","62.35","76.53","0.52","0.16","78.46","96"
"Apopka","30 Jan 2009","54.69","45.55","62.06","0.9","0.1","97.17","96"
"Apopka","31 Jan 2009","47.58","33.76","61.23","0","0","211.29","96"
"Arcadia","1 Jan 2009","60.71","48.34","75.42","0","0","152.78","96"
"Arcadia","2 Jan 2009","64.5","51.51","79.81","0","0","153.33","96"
"Arcadia","3 Jan 2009","65.48","50.45","79.59","0","0","146.65","96"
"Arcadia","4 Jan 2009","67.09","52.32","83.61","0","0","145.88","96"
"Arcadia","5 Jan 2009","67.23","53.47","85.91","0","0","163.12","96"
"Arcadia","6 Jan 2009","69.2","54.84","84.06","0","0","170.43","96"
"Arcadia","7 Jan 2009","65.77","49.98","79.65","0.07","0.07","86.13","96"
"Arcadia","8 Jan 2009","56.14","41.39","73.42","0","0","183.9","96"
"Arcadia","9 Jan 2009","58.01","44.25","75.27","0","0","187.38","96"
"Arcadia","10 Jan 2009","60.27","42.92","80.35","0","0","183.37","96"
"Arcadia","11 Jan 2009","63.91","48.87","80.22","0","0","179.67","96"
"Arcadia","12 Jan 2009","65.12","56.79","74.01","0","0","99.02","96"
"Arcadia","13 Jan 2009","62.55","52.63","78.53","0.12","0.07","82.16","96"
"Arcadia","14 Jan 2009","53.16","40.38","67.98","0","0","168.1","96"
"Arcadia","15 Jan 2009","49.49","39.29","61.41","0","0","97.83","96"
"Arcadia","16 Jan 2009","51.19","40.52","64.78","0","0","179.37","96"
"Arcadia","17 Jan 2009","49.46","34.76","67.32","0","0","194.14","96"
"Arcadia","18 Jan 2009","55.67","39.22","73.76","0","0","184.06","96"
"Arcadia","19 Jan 2009","63.25","54.77","74.19","0.02","0.01","165.65","96"
"Arcadia","20 Jan 2009","54.03","38.43","67.96","0","0","160.57","96"
"Arcadia","21 Jan 2009","39.76","26.77","55.13","0","0","203.03","96"
"Arcadia","22 Jan 2009","41.77","21.4","64.87","0","0","207.37","96"
