StationID,Date,num_obs,trf,t60cm_max,t60cm_min,rain_sum
110,2009-12-12,96,2.876,10.38,3.7,46.2
130,2009-12-12,96,2.532,8.54,3.63,26.31
140,2009-12-12,96,3.689,11.87,3.73,84.02
150,2009-12-12,96,2.747,14.52,6.59,14.3
160,2009-12-12,96,4.518,13.31,4.39,40.16
170,2009-12-12,96,3.713,16.09,5.41,66.95
180,2009-12-12,96,3.745,16.88,6.54,44.42
230,2009-12-12,96,2.66,18.82,9.23,7.16
240,2009-12-12,96,3.517,18.88,9.19,7.59
250,2009-12-12,96,2.6,19.42,9.99,2.08
260,2009-12-12,96,3.269,18.29,7.93,9.88
270,2009-12-12,96,3.617,21.05,12.23,4.62
280,2009-12-12,96,3.25,23.46,11.33,0.0
290,2009-12-12,96,2.42,23.3,12.36,0.0
302,2009-12-12,96,3.194,27.5,12.75,0.0
303,2009-12-12,96,4.232,26.19,13.19,0.0
304,2009-12-12,96,3.62,25.94,13.81,0.0
310,2009-12-12,96,2.845,27.48,12.1,0.0
320,2009-12-12,96,3.843,26.12,13.87,0.0
330,2009-12-12,96,4.767,25.99,14.11,0.0
340,2009-12-12,96,4.791,26.22,14.07,0.0
350,2009-12-12,96,6.631,25.75,14.01,0.0
360,2009-12-12,96,5.981,25.7,13.4,0.0
380,2009-12-12,96,2.97,25.64,14.21,0.0
390,2009-12-12,96,4.985,26.98,15.0,0.0
405,2009-12-12,96,10.019,25.84,19.91,0.23
410,2009-12-12,96,7.826,27.24,19.31,23.32
420,2009-12-12,96,6.059,27.37,21.96,25.48
430,2009-12-12,96,5.232,24.63,21.36,0.23
440,2009-12-12,96,4.437,27.44,21.57,0.91
450,2009-12-12,96,12.38,27.56,16.76,0.0
460,2009-12-12,96,7.673,25.81,15.99,0.0
470,2009-12-12,96,4.598,26.18,15.18,0.0
480,2009-12-12,96,6.139,27.42,14.99,0.0
490,2009-12-12,96,6.124,26.67,14.67,0.0
