"Florida Occupational Employment and Wages",,,,,,,,,,,
"Florida - Statewide",,,,,,,,,,,
Occupational,,2012,,"(2013 wage estimates in dollars)",,,,,,,
Code,Title,Employment,,Mean,,Median,,Entry**,,Exp***,
00-0000,"Total all occupations","7,273,850",,19.98,,15.00,,9.19,,25.37,
13-2011,"Accountants and Auditors","74,020",,32.27,,29.05,,20.01,,38.41,
27-2011,Actors,980,,17.72,,13.30,,8.40,,22.38,
15-2011,Actuaries,570,,49.71,,43.08,,28.79,,60.17,
11-3011,"Administrative Services Managers","9,640",,48.99,,46.72,,30.02,,58.47,
25-3011,"Adult Literacy, Remedial Education, and GED Teachers and Instructors","2,360",,24.24,,22.42,,17.06,,27.82,
11-2011,"Advertising and Promotions Managers",930,,47.93,,46.13,,26.97,,58.42,
41-3011,"Advertising Sales Agents","11,590",,22.51,,19.47,,12.21,,27.66,
17-3021,"Aerospace Engineering and Operations Technicians","1,150",,32.26,,33.53,,22.63,,37.08,
17-2011,"Aerospace Engineers","3,770",,42.67,,43.84,,26.47,,50.78,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes","1,010",,23.15,,16.59,,11.21,,29.12,
19-4011,"Agricultural and Food Science Technicians",230,,17.08,,15.77,,12.39,,19.43,
17-2021,"Agricultural Engineers",150,,22.53,,20.29,,16.71,,25.45,
45-2091,"Agricultural Equipment Operators",590,,13.83,,13.23,,9.59,,15.96,
45-2011,"Agricultural Inspectors",690,,14.55,,12.63,,8.49,,17.57,
25-1041,"Agricultural Sciences Teachers, Postsecondary",520,,"96,461",*,"91,516",*,"66,190",*,"111,597",*
45-2099,"Agricultural Workers, All Other",60,,12.54,,9.52,,8.13,,14.74,
53-2021,"Air Traffic Controllers","1,810",,58.06,,59.13,,37.77,,68.21,
53-1011,"Aircraft Cargo Handling Supervisors",270,,22.89,,20.95,,15.81,,26.44,
49-3011,"Aircraft Mechanics and Service Technicians","9,530",,25.25,,25.08,,16.74,,29.49,
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","1,370",,21.36,,21.33,,15.20,,24.44,
53-2022,"Airfield Operations Specialists",420,,25.43,,23.90,,14.99,,30.64,
53-2011,"Airline Pilots, Copilots, and Flight Engineers","4,810",,"131,336",*,"117,071",*,"78,466",*,"157,770",*
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",630,,13.06,,12.90,,9.79,,14.69,
39-3091,"Amusement and Recreation Attendants","28,990",,9.53,,9.00,,8.27,,10.16,
29-1061,Anesthesiologists,"1,300",,126.22,,N/R,,N/R,,N/R,
45-2021,"Animal Breeders",20,,19.33,,17.72,,8.51,,24.73,
33-9011,"Animal Control Workers",510,,17.24,,16.56,,12.45,,19.64,
19-1011,"Animal Scientists",110,,19.31,,18.58,,15.59,,21.17,
39-2011,"Animal Trainers",630,,15.76,,13.55,,9.44,,18.92,
19-3091,"Anthropologists and Archeologists",250,,25.96,,24.13,,16.08,,30.90,
25-1061,"Anthropology and Archeology Teachers, Postsecondary",170,,"93,278",*,"90,131",*,"64,448",*,"107,693",*
13-2021,"Appraisers and Assessors of Real Estate","4,560",,26.12,,22.86,,14.26,,32.05,
23-1022,"Arbitrators, Mediators, and Conciliators",310,,23.47,,20.24,,16.57,,26.93,
17-1011,"Architects, Except Landscape and Naval","3,920",,38.10,,34.32,,22.59,,45.86,
17-3011,"Architectural and Civil Drafters","5,620",,22.82,,22.04,,15.65,,26.40,
25-1031,"Architecture Teachers, Postsecondary",290,,"88,473",*,"86,236",*,"62,058",*,"101,680",*
25-4011,Archivists,130,,24.42,,21.88,,16.24,,28.50,
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",340,,"96,212",*,"92,016",*,"56,272",*,"116,181",*
27-1011,"Art Directors",730,,38.02,,34.46,,23.28,,45.40,
25-1121,"Art, Drama, and Music Teachers, Postsecondary","3,020",,"72,983",*,"69,359",*,"41,135",*,"88,906",*
27-1019,"Artists and Related Workers, All Other",260,,25.59,,21.58,,13.83,,31.48,
51-2099,"Assemblers and Fabricators, All Other","5,300",,12.03,,11.20,,8.69,,13.70,
27-2021,"Athletes and Sports Competitors","2,920",,"52,492",*,"37,013",*,"23,068",*,"67,203",*
29-9091,"Athletic Trainers",910,,"43,363",*,"43,650",*,"29,051",*,"50,517",*
19-2021,"Atmospheric and Space Scientists",360,,45.85,,45.82,,34.07,,51.76,
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",500,,"94,405",*,"91,412",*,"59,693",*,"111,761",*
27-4011,"Audio and Video Equipment Technicians","2,090",,18.21,,16.49,,11.57,,21.53,
29-1181,Audiologists,550,,35.18,,34.44,,27.24,,39.14,
25-9011,"Audio-Visual Collections Specialists",10,,17.06,,17.77,,11.71,,19.74,
49-3021,"Automotive Body and Related Repairers","6,600",,18.76,,17.57,,11.64,,22.33,
49-3022,"Automotive Glass Installers and Repairers","1,030",,16.26,,16.00,,10.73,,19.02,
49-3023,"Automotive Service Technicians and Mechanics","37,000",,17.95,,17.10,,11.19,,21.32,
49-2091,"Avionics Technicians",970,,24.88,,25.15,,18.86,,27.90,
39-6011,"Baggage Porters and Bellhops","6,270",,10.91,,9.56,,8.24,,12.25,
33-3011,Bailiffs,"1,510",,22.02,,21.50,,17.13,,24.46,
51-3011,Bakers,"10,600",,11.66,,11.28,,8.71,,13.14,
39-5011,Barbers,N/R,,8.38,,8.74,,8.26,,8.43,
35-3011,Bartenders,"34,440",,10.34,,9.15,,8.23,,11.39,
49-3091,"Bicycle Repairers",430,,12.29,,11.67,,8.85,,14.01,
43-3011,"Bill and Account Collectors","31,120",,15.52,,15.08,,11.52,,17.52,
43-3021,"Billing and Posting Clerks and Machine Operators","24,870",,15.99,,15.52,,12.15,,17.92,
19-1021,"Biochemists and Biophysicists",670,,33.47,,25.63,,18.17,,41.13,
25-1042,"Biological Science Teachers, Postsecondary","2,160",,"85,127",*,"81,731",*,"49,989",*,"102,698",*
19-1029,"Biological Scientists, All Other","1,320",,30.71,,33.73,,19.15,,36.49,
19-4021,"Biological Technicians","1,560",,17.89,,17.11,,12.16,,20.75,
17-2031,"Biomedical Engineers",800,,37.94,,35.60,,24.02,,44.89,
47-2011,Boilermakers,270,,25.59,,25.31,,19.37,,28.71,
43-3031,"Bookkeeping, Accounting, and Auditing Clerks","91,170",,16.39,,15.97,,11.39,,18.88,
47-2021,"Brickmasons and Blockmasons","2,310",,16.37,,15.85,,11.43,,18.85,
53-6011,"Bridge and Lock Tenders",250,,19.39,,18.50,,12.42,,22.88,
27-3021,"Broadcast News Analysts",250,,55.07,,37.97,,20.45,,72.38,
27-4012,"Broadcast Technicians","1,690",,16.66,,14.93,,9.72,,20.14,
43-4011,"Brokerage Clerks","4,600",,19.15,,18.61,,14.18,,21.63,
13-2031,"Budget Analysts","2,430",,31.22,,29.89,,21.55,,36.06,
37-2019,"Building Cleaning Workers, All Other","1,450",,13.28,,13.09,,9.69,,15.08,
49-3031,"Bus and Truck Mechanics and Diesel Engine Specialists","8,930",,21.44,,20.97,,15.04,,24.65,
53-3022,"Bus Drivers, School","17,960",,12.64,,12.52,,9.09,,14.41,
53-3021,"Bus Drivers, Transit and Intercity","9,440",,15.08,,13.91,,10.14,,17.55,
13-1199,"Business Operations Specialists, All Other","64,470",,30.28,,28.33,,16.85,,36.99,
